120
7140
7140	7140
23	2	57.0	49.0
23	3	54.0	52.0
23	4	68.0	38.0
23	5	58.0	48.0
23	6	51.0	55.0
23	7	40.0	66.0
23	8	50.0	56.0
23	9	48.0	58.0
23	10	52.0	54.0
23	11	50.0	56.0
23	12	57.0	49.0
23	13	55.0	51.0
23	14	45.0	61.0
23	15	46.0	60.0
23	16	44.0	62.0
23	17	60.0	46.0
23	18	49.0	57.0
23	19	52.0	54.0
23	20	57.0	49.0
23	21	43.0	63.0
23	22	42.0	64.0
24	1	66.0	40.0
24	2	42.0	64.0
24	3	79.0	27.0
24	4	57.0	49.0
24	5	51.0	55.0
24	6	60.0	46.0
24	7	43.0	63.0
24	8	35.0	71.0
24	9	51.0	55.0
24	10	81.0	25.0
24	11	41.0	65.0
24	12	68.0	38.0
24	13	46.0	60.0
24	14	38.0	68.0
24	15	81.0	25.0
24	16	73.0	33.0
24	17	35.0	71.0
24	18	76.0	30.0
24	19	59.0	47.0
24	20	78.0	28.0
24	21	34.0	72.0
24	22	75.0	31.0
24	23	47.0	59.0
25	1	80.0	26.0
25	2	72.0	34.0
25	3	31.0	75.0
25	4	81.0	25.0
25	5	31.0	75.0
25	6	74.0	32.0
25	7	63.0	43.0
25	8	33.0	73.0
25	9	23.0	83.0
25	10	69.0	37.0
25	11	33.0	73.0
25	12	72.0	34.0
25	13	24.0	82.0
25	14	54.0	52.0
25	15	57.0	49.0
25	16	71.0	35.0
25	17	37.0	69.0
25	18	32.0	74.0
25	19	69.0	37.0
25	20	34.0	72.0
25	21	50.0	56.0
25	22	53.0	53.0
25	23	59.0	47.0
25	24	44.0	62.0
26	1	73.0	33.0
26	2	53.0	53.0
26	3	74.0	32.0
26	4	66.0	40.0
26	5	54.0	52.0
26	6	55.0	51.0
26	7	48.0	58.0
26	8	30.0	76.0
26	9	48.0	58.0
26	10	80.0	26.0
26	11	36.0	70.0
26	12	61.0	45.0
26	13	45.0	61.0
26	14	35.0	71.0
26	15	84.0	22.0
26	16	74.0	32.0
26	17	38.0	68.0
26	18	65.0	41.0
26	19	50.0	56.0
26	20	67.0	39.0
26	21	39.0	67.0
26	22	74.0	32.0
26	23	52.0	54.0
26	24	87.0	19.0
26	25	47.0	59.0
27	1	50.0	56.0
27	2	64.0	42.0
27	3	29.0	77.0
27	4	49.0	57.0
27	5	39.0	67.0
27	6	58.0	48.0
27	7	65.0	41.0
27	8	61.0	45.0
27	9	43.0	63.0
27	10	39.0	67.0
27	11	67.0	39.0
27	12	50.0	56.0
27	13	46.0	60.0
27	14	64.0	42.0
27	15	31.0	75.0
27	16	47.0	59.0
27	17	55.0	51.0
27	18	38.0	68.0
27	19	55.0	51.0
27	20	32.0	74.0
27	21	72.0	34.0
27	22	43.0	63.0
27	23	51.0	55.0
27	24	18.0	88.0
27	25	70.0	36.0
27	26	21.0	85.0
28	1	77.0	29.0
28	2	55.0	51.0
28	3	48.0	58.0
28	4	76.0	30.0
28	5	34.0	72.0
28	6	81.0	25.0
28	7	50.0	56.0
28	8	34.0	72.0
28	9	32.0	74.0
28	10	72.0	34.0
28	11	28.0	78.0
28	12	69.0	37.0
28	13	27.0	79.0
28	14	39.0	67.0
28	15	68.0	38.0
28	16	74.0	32.0
28	17	38.0	68.0
28	18	43.0	63.0
28	19	74.0	32.0
28	20	43.0	63.0
28	21	35.0	71.0
28	22	64.0	42.0
28	23	58.0	48.0
28	24	57.0	49.0
28	25	81.0	25.0
28	26	54.0	52.0
28	27	53.0	53.0
29	1	21.0	85.0
29	2	45.0	61.0
29	3	46.0	60.0
29	4	36.0	70.0
29	5	76.0	30.0
29	6	29.0	77.0
29	7	58.0	48.0
29	8	88.0	18.0
29	9	76.0	30.0
29	10	12.0	94.0
29	11	78.0	28.0
29	12	31.0	75.0
29	13	79.0	27.0
29	14	69.0	37.0
29	15	24.0	82.0
29	16	16.0	90.0
29	17	90.0	16.0
29	18	43.0	63.0
29	19	38.0	68.0
29	20	47.0	59.0
29	21	71.0	35.0
29	22	24.0	82.0
29	23	52.0	54.0
29	24	27.0	79.0
29	25	39.0	67.0
29	26	26.0	80.0
29	27	65.0	41.0
29	28	36.0	70.0
30	1	53.0	53.0
30	2	73.0	33.0
30	3	42.0	64.0
30	4	60.0	46.0
30	5	60.0	46.0
30	6	39.0	67.0
30	7	72.0	34.0
30	8	52.0	54.0
30	9	44.0	62.0
30	10	42.0	64.0
30	11	62.0	44.0
30	12	47.0	59.0
30	13	63.0	43.0
30	14	67.0	39.0
30	15	50.0	56.0
30	16	44.0	62.0
30	17	62.0	44.0
30	18	29.0	77.0
30	19	40.0	66.0
30	20	45.0	61.0
30	21	73.0	33.0
30	22	38.0	68.0
30	23	62.0	44.0
30	24	37.0	69.0
30	25	63.0	43.0
30	26	50.0	56.0
30	27	57.0	49.0
30	28	48.0	58.0
30	29	64.0	42.0
31	1	94.0	12.0
31	2	62.0	44.0
31	3	49.0	57.0
