228	30
88	28	1.0
88	29	1.0
89	21	-1.0
89	24	-1.0
89	30	1.0
90	21	-1.0
90	23	-1.0
90	30	1.0
91	21	-1.0
91	23	-1.0
91	30	1.0
92	21	-1.0
92	23	-1.0
92	30	1.0
93	21	-1.0
93	23	-1.0
93	30	1.0
94	21	-1.0
94	23	-1.0
94	30	1.0
95	21	-1.0
95	23	-1.0
95	30	1.0
96	21	-1.0
96	23	-1.0
96	30	1.0
97	21	-1.0
97	23	-1.0
97	30	1.0
98	21	-1.0
98	25	-1.0
98	30	1.0
99	22	1.0
99	26	1.0
99	29	1.0
100	22	1.0
100	26	1.0
100	29	1.0
101	22	1.0
101	26	1.0
101	29	1.0
102	22	1.0
102	26	1.0
102	29	1.0
103	22	1.0
103	26	1.0
103	29	1.0
104	23	-1.0
104	25	-1.0
104	30	1.0
105	25	-1.0
105	30	1.0
106	25	-1.0
106	30	1.0
107	21	-1.0
107	23	-1.0
108	26	-1.0
108	27	-1.0
108	29	-1.0
109	26	1.0
109	28	1.0
109	29	1.0
110	26	1.0
110	28	1.0
110	29	1.0
111	26	1.0
111	28	1.0
111	29	1.0
112	26	1.0
112	28	1.0
112	29	1.0
113	26	1.0
113	28	1.0
113	29	1.0
114	27	1.0
114	28	1.0
114	29	1.0
115	27	1.0
115	28	1.0
115	29	1.0
116	27	1.0
116	28	1.0
116	29	1.0
117	27	1.0
117	28	1.0
117	29	1.0
118	27	1.0
118	28	1.0
118	29	1.0
119	27	1.0
119	28	1.0
119	29	1.0
120	27	1.0
120	28	1.0
120	29	1.0
121	27	1.0
121	28	1.0
121	29	1.0
122	27	1.0
122	28	1.0
122	29	1.0
123	27	1.0
123	28	1.0
123	29	1.0
124	27	1.0
124	28	1.0
124	29	1.0
125	27	1.0
125	28	1.0
125	29	1.0
126	27	1.0
126	28	1.0
126	29	1.0
127	27	1.0
127	28	1.0
127	29	1.0
128	27	1.0
128	28	1.0
128	29	1.0
129	23	-1.0
129	24	-1.0
130	23	-1.0
130	24	-1.0
131	23	-1.0
131	24	-1.0
132	23	-1.0
132	24	-1.0
133	23	-1.0
133	24	-1.0
134	24	-1.0
134	25	-1.0
135	24	-1.0
135	25	-1.0
136	22	1.0
136	26	1.0
137	22	1.0
137	26	1.0
138	22	1.0
138	26	1.0
139	22	1.0
139	26	1.0
140	25	1.0
141	25	1.0
142	25	-1.0
143	25	-1.0
144	25	1.0
145	23	-1.0
145	30	1.0
146	23	-1.0
146	30	1.0
147	24	-1.0
147	30	1.0
148	24	-1.0
148	30	1.0
149	27	1.0
149	29	1.0
150	27	1.0
150	29	1.0
151	27	1.0
151	29	1.0
152	27	1.0
152	29	1.0
153	27	1.0
153	29	1.0
154	28	1.0
154	29	1.0
155	28	1.0
155	29	1.0
156	28	1.0
156	29	1.0
157	28	1.0
157	29	1.0
158	28	1.0
158	29	1.0
159	28	1.0
159	29	1.0
160	28	1.0
160	29	1.0
161	28	1.0
161	29	1.0
162	28	1.0
162	29	1.0
163	28	1.0
163	29	1.0
164	28	1.0
164	29	1.0
165	28	1.0
165	29	1.0
166	22	1.0
167	22	1.0
168	22	1.0
169	22	1.0
170	26	1.0
170	29	1.0
171	26	1.0
171	29	1.0
172	26	1.0
172	29	1.0
173	26	1.0
173	29	1.0
174	26	1.0
174	29	1.0
175	26	1.0
175	29	1.0
176	26	1.0
176	29	1.0
177	26	1.0
177	29	1.0
178	26	1.0
178	29	1.0
179	26	1.0
179	29	1.0
180	26	1.0
180	29	1.0
181	26	1.0
181	29	1.0
182	26	1.0
182	29	1.0
183	23	-1.0
184	23	-1.0
185	23	-1.0
186	24	-1.0
187	26	1.0
188	26	1.0
189	26	1.0
190	29	1.0
191	29	1.0
192	29	1.0
193	29	1.0
194	29	1.0
195	29	1.0
196	29	1.0
197	29	1.0
198	29	1.0
199	29	1.0
200	29	1.0
201	29	1.0
202	30	1.0
203	30	1.0
204	30	1.0
205	30	1.0
206	30	1.0
207	30	1.0
208	30	1.0
209	30	1.0
210	30	1.0
211	30	1.0
212	30	1.0
213	30	1.0
214	30	1.0
215	30	1.0
216	30	1.0
217	30	1.0
218	30	1.0
219	30	1.0
220	30	1.0
221	30	1.0
222	30	1.0
223	30	1.0
224	30	1.0
225	30	1.0
226	30	1.0
227	30	1.0
228	30	1.0
