RNA	Degree	Degree Rank
SIT1	95.0	1
MID1	73.0	2
FOXA1	67.0	3
MLPH	59.0	4
CCR7	59.0	5
PRR15	56.0	6
IRF4	53.0	7
ICOS	45.0	8
ESR1	29.0	9
TTC6	25.0	10
BANK1	16.0	11
GZMM	14.0	12
CXCL9	9.0	13
AGR3	8.0	14
CA12	5.0	15
C5AR2	5.0	16
CT62	3.0	17
THSD4	2.0	18
TFF3	2.0	19
FSIP1	1.0	20
SRARP	1.0	21
B3GALT1	1.0	22
PDZK1	1.0	23
SCNN1A	1.0	24
ID4	1.0	25
SVEP1	1.0	26
CALML5	1.0	27
PTH1R	1.0	28
PPP2R2B	1.0	29
MYB	1.0	30
