120
179
123	56
10	1	3.0	0.0
16	1	3.0	0.0
16	10	3.0	0.0
25	3	0.0	1.0
31	1	2.0	0.0
31	10	2.0	0.0
31	16	2.0	0.0
34	3	0.0	1.0
34	6	1.0	0.0
34	25	1.0	0.0
38	1	2.0	0.0
38	10	2.0	0.0
38	16	2.0	0.0
38	31	2.0	0.0
39	2	2.0	0.0
42	1	2.0	0.0
42	10	2.0	0.0
42	16	2.0	0.0
42	31	2.0	0.0
42	38	2.0	0.0
43	2	2.0	0.0
43	39	2.0	0.0
45	3	0.0	1.0
45	25	1.0	0.0
45	34	1.0	0.0
53	1	2.0	0.0
53	6	1.0	0.0
53	10	2.0	0.0
53	16	2.0	0.0
53	31	1.0	0.0
53	34	3.0	0.0
53	38	1.0	0.0
53	42	1.0	0.0
62	3	1.0	0.0
62	25	0.0	1.0
62	34	0.0	1.0
62	45	0.0	1.0
68	34	1.0	0.0
72	1	0.0	3.0
72	6	0.0	1.0
72	10	0.0	3.0
72	16	0.0	3.0
72	31	0.0	2.0
72	34	0.0	1.0
72	38	0.0	2.0
72	42	0.0	2.0
72	53	0.0	3.0
74	1	0.0	3.0
74	10	0.0	3.0
74	16	0.0	3.0
74	31	0.0	2.0
74	38	0.0	2.0
74	42	0.0	2.0
74	53	0.0	2.0
74	72	3.0	0.0
78	1	2.0	0.0
78	10	2.0	0.0
78	16	2.0	0.0
78	31	2.0	0.0
78	38	2.0	0.0
78	42	2.0	0.0
78	53	1.0	0.0
78	72	0.0	2.0
78	74	0.0	2.0
79	2	2.0	0.0
79	3	0.0	1.0
79	25	1.0	0.0
79	34	1.0	0.0
79	39	3.0	0.0
79	43	2.0	0.0
79	45	1.0	0.0
79	62	0.0	1.0
80	34	1.0	0.0
80	68	1.0	0.0
85	1	1.0	0.0
85	3	0.0	1.0
85	10	1.0	0.0
85	16	1.0	0.0
85	25	1.0	0.0
85	31	1.0	0.0
85	34	2.0	0.0
85	38	1.0	0.0
85	42	1.0	0.0
85	45	1.0	0.0
85	62	0.0	1.0
85	68	1.0	0.0
85	72	0.0	1.0
85	74	0.0	1.0
85	78	1.0	0.0
85	79	1.0	0.0
85	80	1.0	0.0
87	1	3.0	0.0
87	10	3.0	0.0
87	16	3.0	0.0
87	31	2.0	0.0
87	38	2.0	0.0
87	42	2.0	0.0
87	53	2.0	0.0
87	72	0.0	3.0
87	74	0.0	3.0
87	78	2.0	0.0
87	85	1.0	0.0
88	6	1.0	0.0
88	34	3.0	0.0
88	53	1.0	0.0
88	68	1.0	0.0
88	72	0.0	1.0
88	80	1.0	0.0
88	85	1.0	0.0
92	2	2.0	0.0
92	3	0.0	1.0
92	25	1.0	0.0
92	34	1.0	0.0
92	39	4.0	0.0
92	43	2.0	0.0
92	45	1.0	0.0
92	62	0.0	1.0
92	79	4.0	0.0
92	85	1.0	0.0
105	34	0.0	1.0
105	68	0.0	1.0
105	80	0.0	1.0
105	85	0.0	1.0
105	88	0.0	1.0
106	34	1.0	0.0
106	68	1.0	0.0
106	80	1.0	0.0
106	85	1.0	0.0
106	88	1.0	0.0
106	105	0.0	1.0
108	6	1.0	0.0
108	34	3.0	0.0
108	53	2.0	0.0
108	68	1.0	0.0
108	72	0.0	1.0
108	80	1.0	0.0
108	85	1.0	0.0
108	88	2.0	0.0
108	105	0.0	1.0
108	106	1.0	0.0
114	34	0.0	1.0
114	68	0.0	1.0
114	80	0.0	1.0
114	85	0.0	1.0
114	88	0.0	1.0
114	105	1.0	0.0
114	106	0.0	1.0
114	108	0.0	1.0
116	3	0.0	1.0
116	25	1.0	0.0
116	34	2.0	0.0
116	45	1.0	0.0
116	62	0.0	1.0
116	68	1.0	0.0
116	79	1.0	0.0
116	80	1.0	0.0
116	85	2.0	0.0
116	88	1.0	0.0
116	92	1.0	0.0
116	105	0.0	1.0
116	106	1.0	0.0
116	108	1.0	0.0
116	114	0.0	1.0
117	1	1.0	0.0
117	10	1.0	0.0
117	16	1.0	0.0
117	31	1.0	0.0
117	38	1.0	0.0
117	42	1.0	0.0
117	72	0.0	1.0
117	74	0.0	1.0
117	78	1.0	0.0
117	85	1.0	0.0
117	87	1.0	0.0
118	2	1.0	0.0
118	39	1.0	0.0
118	43	1.0	0.0
118	79	1.0	0.0
118	92	2.0	0.0
