TissueID	n_CG
TCGA-D5-6932-01A	1958
TCGA-D5-7000-01A	878
TCGA-DM-A0X9-01A	255
TCGA-DM-A0XD-01A	198
TCGA-DM-A0XF-01A	90
TCGA-DM-A1D0-01A	220
TCGA-DM-A1D6-01A	545
TCGA-DM-A1D7-01A	290
TCGA-DM-A1D8-01A	116
TCGA-DM-A1D9-01A	174
TCGA-DM-A1DA-01A	253
TCGA-DM-A1DB-01A	765
TCGA-DM-A1HB-01A	237
TCGA-DM-A280-01A	247
TCGA-DM-A285-01A	145
TCGA-DM-A288-01A	389
TCGA-DM-A28A-01A	538
TCGA-DM-A28C-01A	404
TCGA-DM-A28E-01A	791
TCGA-DM-A28F-01A	371
TCGA-DM-A28G-01A	463
TCGA-DM-A28H-01A	740
TCGA-DM-A28K-01A	186
TCGA-DM-A28M-01A	269
TCGA-F4-6459-01A	285
TCGA-F4-6460-01A	102
TCGA-F4-6463-01A	927
TCGA-F4-6570-01A	637
TCGA-F4-6703-01A	226
TCGA-F4-6704-01A	386
TCGA-F4-6806-01A	389
TCGA-F4-6807-01A	129
TCGA-F4-6808-01A	1030
TCGA-F4-6809-01A	270
TCGA-F4-6854-01A	1169
TCGA-F4-6855-01A	2366
TCGA-F4-6856-01A	4258
TCGA-G4-6294-01A	231
TCGA-G4-6297-01A	3608
TCGA-G4-6298-01A	967
TCGA-G4-6299-01A	719
TCGA-G4-6302-01A	411
TCGA-G4-6303-01A	277
TCGA-G4-6304-01A	972
TCGA-G4-6307-01A	679
TCGA-G4-6309-01A	530
TCGA-G4-6310-01A	271
TCGA-G4-6311-01A	402
TCGA-G4-6314-01A	602
TCGA-G4-6315-01A	427
TCGA-G4-6317-01A	1125
TCGA-G4-6317-02A	557
TCGA-G4-6320-01A	1005
TCGA-G4-6321-01A	390
TCGA-G4-6586-01A	751
TCGA-G4-6588-01A	464
TCGA-G4-6625-01A	476
TCGA-G4-6626-01A	477
TCGA-G4-6628-01A	705
TCGA-NH-A50T-01A	2142
TCGA-NH-A50U-01A	3384
TCGA-NH-A50V-01A	1306
TCGA-NH-A5IV-01A	1256
TCGA-NH-A6GA-01A	861
TCGA-NH-A6GC-01A	2684
TCGA-NH-A8F8-01A	1807
TCGA-QG-A5YW-01A	1927
TCGA-QG-A5YX-01A	2015
TCGA-QG-A5Z1-01A	584
TCGA-QL-A97D-01A	3252
TCGA-RU-A8FL-01A	773
TCGA-SS-A7HO-01A	1255
TCGA-T9-A92H-01A	1830
TCGA-WS-AB45-01A	1384
TCGA-A6-2681-01A	8504
TCGA-G4-6322-01A	2046
TCGA-CK-4952-01A	3282
TCGA-CA-5254-01A	1065
TCGA-CK-6747-01A	623
TCGA-A6-A5ZU-01A	3208
TCGA-AD-A5EK-01A	681
TCGA-A6-6138-01A	711
TCGA-AD-6895-01A	1212
TCGA-AZ-6608-01A	604
TCGA-CA-5797-01A	1573
TCGA-D5-6533-01A	890
TCGA-G4-6293-01A	861
TCGA-G4-6306-01A	512
TCGA-NH-A6GB-01A	521
TCGA-NH-A8F7-01A	1840
TCGA-NH-A8F7-06A	3181
TCGA-A6-6142-01A	382
TCGA-CK-6748-01A	825
TCGA-DM-A1HA-01A	800
TCGA-A6-6653-01A	579
TCGA-CM-4744-01A	2115
TCGA-F4-6461-01A	249
TCGA-AZ-6600-11A	175
TCGA-DM-A1D4-01A	4146
TCGA-AM-5820-01A	3105
TCGA-AD-A5EJ-01A	1415
TCGA-AZ-6603-01A	762
TCGA-4N-A93T-01A	1798
TCGA-A6-2677-01A	818
TCGA-G4-6295-01A	869
TCGA-AZ-6598-11A	90
TCGA-G4-6627-01A	193
TCGA-CK-5912-01A	675
TCGA-A6-6137-01A	787
TCGA-AY-A71X-01A	1299
TCGA-AY-5543-01A	120
TCGA-CM-6171-01A	122
TCGA-A6-2680-01A	1322
TCGA-A6-2685-01A	552
TCGA-AZ-6601-11A	320
TCGA-CA-6716-01A	578
TCGA-F4-6805-01A	399
TCGA-G4-6323-01A	573
TCGA-F4-6569-01A	430
TCGA-A6-2671-01A	2117
TCGA-AY-A54L-01A	2723
TCGA-D5-6530-01A	694
TCGA-CK-4948-01B	127
TCGA-A6-2685-11A	240
TCGA-A6-5656-01A	693
TCGA-A6-6781-01A	718
TCGA-A6-A567-01A	1963
TCGA-AZ-4681-01A	3224
TCGA-AZ-6599-11A	145
TCGA-DM-A282-01A	257
TCGA-QG-A5Z2-01A	871
TCGA-A6-A566-01A	371
TCGA-A6-A56B-01A	1510
TCGA-QG-A5YV-01A	1291
TCGA-A6-A565-01A	68
