chromosome_name	Occurance
7	63
1	61
14	53
2	41
3	40
11	35
X	31
6	29
17	28
9	27
19	26
4	21
5	21
15	20
16	18
10	18
8	18
12	16
20	13
Y	12
21	11
22	10
13	8
1	7
3	6
15	5
18	4
12	4
17	4
2	4
14	3
6	3
10	3
19	3
7	2
5	2
8	2
11	2
18	2
21	2
16	2
4	1
13	1
20	1
