"EPHA3"	"RPAP3"	+
"EPHA3"	"RPAP3"	-
"GPM6B"	"RPAP3"	-
"SCML1"	"RPAP3"	-
"VAMP3"	"RPAP3"	-
"FOXP3"	"RPAP3"	+
"FOXP3"	"RPAP3"	-
"MRTO4"	"RPAP3"	+
"PRDM1"	"RPAP3"	-
"TMCC3"	"RPAP3"	-
"RASGRF1"	"RPAP3"	-
"YIPF1"	"RPAP3"	+
"SPAG4"	"RPAP3"	+
"ZNF112"	"RPAP3"	+
"COL17A1"	"RPAP3"	-
"COASY"	"RPAP3"	+
"MAST4"	"RPAP3"	+
"MAST4"	"RPAP3"	-
"BCL3"	"RPAP3"	+
"ST6GALNAC1"	"RPAP3"	-
"SLC6A15"	"RPAP3"	-
"ADGRL1"	"RPAP3"	+
"PVR"	"RPAP3"	-
"MCM2"	"RPAP3"	+
"CLASP1"	"RPAP3"	-
"IPCEF1"	"RPAP3"	-
"ENO1"	"RPAP3"	-
"FOSL2"	"RPAP3"	-
"PLD1"	"RPAP3"	-
"RARB"	"RPAP3"	-
"CST7"	"RPAP3"	-
"BPIFB2"	"RPAP3"	+
"CDC14A"	"RPAP3"	-
"C1QTNF3"	"RPAP3"	+
"ME2"	"RPAP3"	-
"ITGB5"	"RPAP3"	+
"ULK2"	"RPAP3"	+
"ZNF446"	"RPAP3"	+
"FAT1"	"RPAP3"	-
"SLCO1A2"	"RPAP3"	-
"CAD"	"RPAP3"	+
"CAD"	"RPAP3"	-
"PREP"	"RPAP3"	-
"ATG16L1"	"RPAP3"	+
"HSD17B2"	"RPAP3"	-
"DOCK3"	"RPAP3"	-
"MARK4"	"ACSM3"	-
"CRAMP1"	"ACSM3"	-
"MPND"	"ACSM3"	-
"IDS"	"ACSM3"	+
"UTP18"	"ACSM3"	-
"DPEP1"	"ACSM3"	-
"SNX1"	"ACSM3"	+
"SNX1"	"ACSM3"	-
"ARNTL2"	"ACSM3"	+
"ARID4A"	"ACSM3"	+
"USP2"	"ACSM3"	+
"METTL1"	"ACSM3"	-
"MSR1"	"ACSM3"	-
"C6"	"ACSM3"	+
"EPHA3"	"ACSM3"	+
"EPHA3"	"ACSM3"	-
"CTPS2"	"ACSM3"	-
"MRPS10"	"ACSM3"	-
"VAMP3"	"ACSM3"	+
"FOXP3"	"ACSM3"	+
"FOXP3"	"ACSM3"	-
"MSMO1"	"ACSM3"	-
"MRTO4"	"ACSM3"	-
"GYG2"	"ACSM3"	+
"PRDM1"	"ACSM3"	+
"YIPF1"	"ACSM3"	-
"SPAG4"	"ACSM3"	-
"ZNF112"	"ACSM3"	-
"MTMR1"	"ACSM3"	-
"CLDN18"	"ACSM3"	+
"PHKA1"	"ACSM3"	-
"RRP15"	"ACSM3"	-
"IP6K2"	"ACSM3"	+
"MAST4"	"ACSM3"	+
"MAST4"	"ACSM3"	-
"NUCKS1"	"ACSM3"	-
"SLC6A15"	"ACSM3"	+
"PVR"	"ACSM3"	+
"MCM2"	"ACSM3"	-
"CLASP1"	"ACSM3"	+
"MGLL"	"ACSM3"	+
"ENO1"	"ACSM3"	+
"FOSL2"	"ACSM3"	+
"FRYL"	"ACSM3"	-
"TMEM131"	"ACSM3"	-
"MCAM"	"ACSM3"	+
"CST7"	"ACSM3"	+
"NEBL"	"ACSM3"	-
"BPIFB2"	"ACSM3"	-
"CDC14A"	"ACSM3"	+
"HSP90AA1"	"ACSM3"	-
"C1QTNF3"	"ACSM3"	-
"ME2"	"ACSM3"	+
"ME2"	"ACSM3"	-
"ITGB5"	"ACSM3"	+
"ULK2"	"ACSM3"	-
"WBP11"	"ACSM3"	-
"CAD"	"ACSM3"	+
"CAD"	"ACSM3"	-
"PREP"	"ACSM3"	+
"CPNE3"	"ACSM3"	-
"ATG16L1"	"ACSM3"	-
"PPP1R15A"	"ACSM3"	+
"CETP"	"ACSM3"	+
"DOCK3"	"ACSM3"	+
"UTP18"	"MARK4"	+
"SNX1"	"MARK4"	-
"USP2"	"MARK4"	-
"C6"	"MARK4"	-
"CTPS2"	"MARK4"	+
"SCML1"	"MARK4"	-
"MRPS10"	"MARK4"	+
"FOXP3"	"MARK4"	+
"GYG2"	"MARK4"	-
"MTMR1"	"MARK4"	+
"COL17A1"	"MARK4"	-
"PHKA1"	"MARK4"	+
"RRP15"	"MARK4"	+
"MAST4"	"MARK4"	-
"NUCKS1"	"MARK4"	+
"ST6GALNAC1"	"MARK4"	-
"HMMR"	"MARK4"	+
"MGLL"	"MARK4"	-
"FOSL2"	"MARK4"	-
"MCAM"	"MARK4"	-
"NEBL"	"MARK4"	+
"CDC14A"	"MARK4"	-
"HSP90AA1"	"MARK4"	+
"ITGB5"	"MARK4"	-
"SLCO1A2"	"MARK4"	-
"WBP11"	"MARK4"	+
"CAD"	"MARK4"	+
"CPNE3"	"MARK4"	+
"HSD17B2"	"MARK4"	-
"PPP1R15A"	"MARK4"	-
"CETP"	"MARK4"	-
"ARNTL2"	"CRAMP1"	-
"GPM6B"	"CRAMP1"	-
"CTPS2"	"CRAMP1"	+
"MSMO1"	"CRAMP1"	+
"RASGRF1"	"CRAMP1"	-
"YIPF1"	"CRAMP1"	+
"COASY"	"CRAMP1"	+
"SLC6A15"	"CRAMP1"	-
"PVR"	"CRAMP1"	-
"IPCEF1"	"CRAMP1"	-
"FRYL"	"CRAMP1"	+
"TMEM131"	"CRAMP1"	+
"MCAM"	"CRAMP1"	-
"RARB"	"CRAMP1"	-
"CST7"	"CRAMP1"	-
"NEBL"	"CRAMP1"	+
"C1QTNF3"	"CRAMP1"	+
"ITGB5"	"CRAMP1"	+
"FAT1"	"CRAMP1"	-
"SLCO1A2"	"CRAMP1"	-
"CAD"	"CRAMP1"	-
"PREP"	"CRAMP1"	-
"CPNE3"	"CRAMP1"	+
"HSD17B2"	"CRAMP1"	-
"PPP1R15A"	"CRAMP1"	-
"MGST1"	"AASS"	+
"PAX7"	"AASS"	-
"DPEP1"	"AASS"	-
"ARNTL2"	"AASS"	-
