120
3388
1804	1826
"ARID4A"	"SLC7A2"	3.0	0.0
"ARID4A"	"RPAP3"	0.0	3.0
"ARID4A"	"ACSM3"	4.0	0.0
"ARID4A"	"MARK4"	0.0	2.0
"ARID4A"	"AASS"	6.0	0.0
"ARID4A"	"MPND"	0.0	1.0
"ARID4A"	"MAPK8IP2"	0.0	4.0
"ARID4A"	"IDS"	4.0	0.0
"ARID4A"	"CLCN6"	6.0	0.0
"ARID4A"	"UTP18"	0.0	3.0
"ARID4A"	"ZMYND11"	1.0	0.0
"ARID4A"	"SNX1"	7.0	0.0
"ARID4A"	"ARNTL2"	0.0	3.0
"PNPLA6"	"CFH"	2.0	0.0
"PNPLA6"	"LAP3"	4.0	0.0
"PNPLA6"	"SLC7A2"	0.0	2.0
"PNPLA6"	"RPAP3"	0.0	2.0
"PNPLA6"	"TTC19"	0.0	3.0
"PNPLA6"	"ZMYND11"	0.0	5.0
"PNPLA6"	"DPEP1"	4.0	0.0
"PNPLA6"	"SNX1"	0.0	2.0
"PNPLA6"	"ARNTL2"	3.0	0.0
"USP2"	"CFH"	3.0	0.0
"USP2"	"SLC7A2"	0.0	1.0
"USP2"	"RPAP3"	0.0	3.0
"USP2"	"ACSM3"	5.0	0.0
"USP2"	"MARK4"	0.0	1.0
"USP2"	"AASS"	4.0	0.0
"USP2"	"MAPK8IP2"	0.0	5.0
"USP2"	"CLCN6"	5.0	0.0
"USP2"	"UTP18"	0.0	1.0
"USP2"	"TMEM159"	1.0	0.0
"USP2"	"DPEP1"	0.0	1.0
"USP2"	"SNX1"	2.0	0.0
"USP2"	"ARNTL2"	3.0	0.0
"USP2"	"ARID4A"	1.0	0.0
"METTL1"	"CFH"	0.0	6.0
"METTL1"	"RPAP3"	4.0	0.0
"METTL1"	"ACSM3"	0.0	5.0
"METTL1"	"MARK4"	2.0	0.0
"METTL1"	"AASS"	0.0	7.0
"METTL1"	"MPND"	1.0	0.0
"METTL1"	"MAPK8IP2"	6.0	0.0
"METTL1"	"PAX7"	1.0	0.0
"METTL1"	"IDS"	0.0	2.0
"METTL1"	"CLCN6"	0.0	7.0
"METTL1"	"UTP18"	3.0	0.0
"METTL1"	"SNX1"	0.0	6.0
"METTL1"	"ARNTL2"	0.0	1.0
"METTL1"	"ARID4A"	0.0	5.0
"METTL1"	"USP2"	0.0	2.0
"MSR1"	"CFH"	2.0	0.0
"MSR1"	"LAP3"	3.0	0.0
"MSR1"	"SLC7A2"	0.0	1.0
"MSR1"	"ACSM3"	0.0	2.0
"MSR1"	"AASS"	0.0	2.0
"MSR1"	"CLCN6"	0.0	2.0
"MSR1"	"TTC19"	0.0	2.0
"MSR1"	"ZMYND11"	0.0	2.0
"MSR1"	"DPEP1"	4.0	0.0
"MSR1"	"SNX1"	0.0	2.0
"MSR1"	"ARNTL2"	2.0	0.0
"MSR1"	"PNPLA6"	2.0	0.0
"MSR1"	"USP2"	0.0	2.0
"C6"	"CFH"	14.0	0.0
"C6"	"LAP3"	3.0	0.0
"C6"	"SLC7A2"	1.0	0.0
"C6"	"RPAP3"	0.0	7.0
"C6"	"ACSM3"	5.0	0.0
"C6"	"MARK4"	0.0	2.0
"C6"	"AASS"	11.0	0.0
"C6"	"MPND"	0.0	1.0
"C6"	"MGST1"	1.0	0.0
"C6"	"MAPK8IP2"	0.0	8.0
"C6"	"IDS"	2.0	0.0
"C6"	"CLCN6"	9.0	0.0
"C6"	"UTP18"	0.0	3.0
"C6"	"TTC19"	0.0	1.0
"C6"	"ZMYND11"	0.0	1.0
"C6"	"DPEP1"	1.0	0.0
"C6"	"SNX1"	6.0	0.0
"C6"	"ARNTL2"	3.0	0.0
"C6"	"ARID4A"	5.0	0.0
"C6"	"PNPLA6"	1.0	0.0
"C6"	"USP2"	3.0	0.0
"C6"	"METTL1"	0.0	6.0
"C6"	"MSR1"	1.0	0.0
"EPHA3"	"CFH"	3.0	0.0
"EPHA3"	"LAP3"	0.0	1.0
"EPHA3"	"SLC7A2"	1.0	0.0
"EPHA3"	"RPAP3"	1.0	2.0
"EPHA3"	"ACSM3"	2.0	1.0
"EPHA3"	"MARK4"	0.0	2.0
"EPHA3"	"AASS"	3.0	0.0
"EPHA3"	"MAPK8IP2"	1.0	2.0
"EPHA3"	"IDS"	1.0	0.0
"EPHA3"	"CLCN6"	3.0	0.0
"EPHA3"	"UTP18"	0.0	2.0
"EPHA3"	"SNX1"	3.0	0.0
"EPHA3"	"ARNTL2"	0.0	1.0
"EPHA3"	"ARID4A"	2.0	0.0
"EPHA3"	"USP2"	1.0	0.0
"EPHA3"	"METTL1"	0.0	2.0
"EPHA3"	"C6"	2.0	0.0
"GPM6B"	"CFH"	11.0	0.0
"GPM6B"	"LAP3"	1.0	1.0
"GPM6B"	"SLC7A2"	0.0	6.0
"GPM6B"	"RPAP3"	0.0	10.0
"GPM6B"	"ACSM3"	12.0	0.0
"GPM6B"	"MARK4"	0.0	2.0
"GPM6B"	"CRAMP1"	0.0	1.0
"GPM6B"	"AASS"	12.0	0.0
"GPM6B"	"MPND"	0.0	1.0
"GPM6B"	"MAPK8IP2"	0.0	14.0
"GPM6B"	"PAX7"	0.0	1.0
"GPM6B"	"IDS"	2.0	1.0
"GPM6B"	"CLCN6"	11.0	1.0
"GPM6B"	"UTP18"	0.0	4.0
"GPM6B"	"TMEM159"	1.0	0.0
"GPM6B"	"ZMYND11"	0.0	1.0
"GPM6B"	"DPEP1"	0.0	2.0
"GPM6B"	"SNX1"	7.0	2.0
"GPM6B"	"ARNTL2"	13.0	0.0
"GPM6B"	"ARID4A"	4.0	2.0
"GPM6B"	"USP2"	8.0	0.0
"GPM6B"	"METTL1"	0.0	7.0
"GPM6B"	"MSR1"	0.0	2.0
"GPM6B"	"C6"	8.0	0.0
"GPM6B"	"EPHA3"	2.0	1.0
"CTPS2"	"CFH"	0.0	9.0
"CTPS2"	"LAP3"	0.0	3.0
"CTPS2"	"SLC7A2"	3.0	1.0
"CTPS2"	"RPAP3"	11.0	0.0
"CTPS2"	"ACSM3"	0.0	8.0
"CTPS2"	"MARK4"	2.0	0.0
"CTPS2"	"CRAMP1"	1.0	0.0
"CTPS2"	"AASS"	0.0	9.0
"CTPS2"	"MPND"	1.0	0.0
"CTPS2"	"MAPK8IP2"	8.0	0.0
"CTPS2"	"IDS"	0.0	2.0
"CTPS2"	"CLCN6"	0.0	6.0
"CTPS2"	"UTP18"	3.0	0.0
"CTPS2"	"TTC19"	1.0	0.0
"CTPS2"	"ZMYND11"	3.0	0.0
"CTPS2"	"DPEP1"	0.0	2.0
"CTPS2"	"SNX1"	1.0	5.0
"CTPS2"	"ARNTL2"	0.0	5.0
"CTPS2"	"ARID4A"	0.0	5.0
