CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 63264	0.9999999999317333	1
Cluster 66370	2.2659066711519405e-12	2
Cluster 34909	1.7501035675887414e-12	3
Cluster 18410	1.404836323247293e-12	4
Cluster 83354	1.3599361434597385e-12	5
Cluster 11394	1.1625168773365891e-12	6
Cluster 3973	1.004770387757402e-12	7
Cluster 5042	1.003407568622469e-12	8
Cluster 3700	7.461158395058406e-13	9
Cluster 76829	7.311765555879264e-13	10
Cluster 61082	6.822403825835965e-13	11
Cluster 60603	6.806504096328008e-13	12
Cluster 70240	6.636094830563455e-13	13
Cluster 79424	6.483264142902275e-13	14
Cluster 78035	6.438916011099537e-13	15
Cluster 79422	6.286381086206195e-13	16
Cluster 42067	5.95480989800071e-13	17
Cluster 62557	5.934257140831516e-13	18
Cluster 38137	5.727652836870135e-13	19
Cluster 40230	5.676326915865732e-13	20
Cluster 61020	5.508697992955506e-13	21
Cluster 14676	5.477295217068134e-13	22
Cluster 79814	5.472342768609272e-13	23
Cluster 46008	5.395428795142327e-13	24
Cluster 22787	5.34757042726384e-13	25
Cluster 78490	5.004550170678234e-13	26
Cluster 80510	4.444700563290577e-13	27
Cluster 33345	4.4358247336071e-13	28
Cluster 30667	4.272635418679707e-13	29
Cluster 43578	4.23834679286699e-13	30
Cluster 67878	4.2376650368789815e-13	31
Cluster 40911	4.168344072999542e-13	32
Cluster 59946	4.1487205435239245e-13	33
Cluster 25320	4.0582034512329887e-13	34
Cluster 49833	4.0371825818394623e-13	35
Cluster 5366	3.9956559553776436e-13	36
Cluster 61762	3.9830718851170433e-13	37
Cluster 45077	3.732245495167963e-13	38
Cluster 90410	3.603394763286002e-13	39
Cluster 51599	3.5328124445805267e-13	40
Cluster 1185	3.4772510530718765e-13	41
Cluster 26918	3.43254837316318e-13	42
Cluster 10901	3.3972334059768184e-13	43
Cluster 69060	3.3619751459627323e-13	44
Cluster 45377	3.3515148011412535e-13	45
Cluster 45890	3.31594454654816e-13	46
Cluster 67518	3.2895834492964836e-13	47
Cluster 33846	3.287751696260741e-13	48
Cluster 13261	3.2815709051935724e-13	49
Cluster 3785	3.259884542366986e-13	50
Cluster 45521	3.167620975240907e-13	51
Cluster 90499	3.0995160268001613e-13	52
Cluster 79906	3.0833667190609e-13	53
Cluster 91559	2.9820765274323803e-13	54
Cluster 11392	2.9176079721510984e-13	55
Cluster 58023	2.866781913523339e-13	56
Cluster 31597	2.796103583004094e-13	57
Cluster 31054	2.761801641895656e-13	58
Cluster 7298	2.746760133487339e-13	59
Cluster 30403	2.738787047781699e-13	60
Cluster 42129	2.644539704185876e-13	61
Cluster 6734	2.6158909913992334e-13	62
Cluster 76922	2.574423534708887e-13	63
Cluster 60628	2.569236200244651e-13	64
Cluster 15867	2.4961530286837874e-13	65
Cluster 17458	2.468060432267819e-13	66
Cluster 2519	2.4289990794547787e-13	67
Cluster 89519	2.4245430158244235e-13	68
Cluster 54702	2.4158134219654515e-13	69
Cluster 469	2.391660588404473e-13	70
Cluster 28359	2.356289467755437e-13	71
Cluster 72957	2.2391271544845334e-13	72
Cluster 91558	2.2122046755156956e-13	73
Cluster 46347	2.1855265331600623e-13	74
Cluster 28069	2.17973755049576e-13	75
Cluster 32788	2.0653954555579423e-13	76
Cluster 20344	2.061642271368552e-13	77
Cluster 33213	2.0491649388281946e-13	78
Cluster 67713	1.9934144075527497e-13	79
Cluster 91366	1.9714349722621605e-13	80
Cluster 39402	1.9493159698185952e-13	81
