DNA	Degree	Degree Rank
Cluster 34909	246.0	1
Cluster 18410	239.0	2
Cluster 83354	234.0	3
Cluster 11394	218.0	4
Cluster 5042	217.0	5
Cluster 61082	200.0	6
Cluster 76829	197.0	7
Cluster 3700	193.0	8
Cluster 70240	193.0	9
Cluster 3973	186.0	10
Cluster 79424	186.0	11
Cluster 79422	184.0	12
Cluster 78035	175.0	13
Cluster 22787	174.0	14
Cluster 60603	169.0	15
Cluster 46008	167.0	16
Cluster 40230	164.0	17
Cluster 33345	162.0	18
Cluster 42067	162.0	19
Cluster 30667	161.0	20
Cluster 43578	159.0	21
Cluster 49833	159.0	22
Cluster 38137	158.0	23
Cluster 67878	158.0	24
Cluster 78490	158.0	25
Cluster 79814	156.0	26
Cluster 61020	153.0	27
Cluster 62557	152.0	28
Cluster 90410	152.0	29
Cluster 14676	150.0	30
Cluster 80510	150.0	31
Cluster 1185	149.0	32
Cluster 26918	149.0	33
Cluster 25320	148.0	34
Cluster 45890	147.0	35
Cluster 61762	147.0	36
Cluster 5366	145.0	37
Cluster 10901	143.0	38
Cluster 3785	141.0	39
Cluster 13261	141.0	40
Cluster 90499	141.0	41
Cluster 45077	138.0	42
Cluster 45377	136.0	43
Cluster 58023	136.0	44
Cluster 69060	136.0	45
Cluster 91559	136.0	46
Cluster 42129	135.0	47
Cluster 59946	135.0	48
Cluster 33846	134.0	49
Cluster 67518	131.0	50
Cluster 30403	130.0	51
Cluster 11392	129.0	52
Cluster 40911	129.0	53
Cluster 45521	128.0	54
Cluster 54702	128.0	55
Cluster 7298	127.0	56
Cluster 31597	126.0	57
Cluster 17458	122.0	58
Cluster 51599	122.0	59
Cluster 2519	119.0	60
Cluster 15867	119.0	61
Cluster 72957	117.0	62
Cluster 31054	115.0	63
Cluster 28359	113.0	64
Cluster 46347	113.0	65
Cluster 79906	113.0	66
Cluster 89519	112.0	67
Cluster 6734	111.0	68
Cluster 91558	111.0	69
Cluster 60628	108.0	70
Cluster 76922	107.0	71
Cluster 42483	106.0	72
Cluster 91366	106.0	73
Cluster 33213	104.0	74
Cluster 469	103.0	75
Cluster 20344	101.0	76
Cluster 3009	100.0	77
Cluster 32788	99.0	78
Cluster 48461	99.0	79
Cluster 25281	98.0	80
Cluster 67713	98.0	81
Cluster 8902	97.0	82
Cluster 39402	96.0	83
Cluster 75645	96.0	84
Cluster 28069	95.0	85
Cluster 39788	95.0	86
Cluster 1997	94.0	87
Cluster 74659	94.0	88
Cluster 31877	92.0	89
Cluster 57541	89.0	90
Cluster 69502	89.0	91
Cluster 19269	87.0	92
Cluster 19419	87.0	93
Cluster 66421	87.0	94
Cluster 11687	85.0	95
Cluster 2981	84.0	96
Cluster 59986	84.0	97
Cluster 2106	83.0	98
Cluster 67214	83.0	99
Cluster 79865	83.0	100
Cluster 86659	82.0	101
Cluster 56960	81.0	102
Cluster 45681	80.0	103
Cluster 77724	80.0	104
Cluster 48256	79.0	105
Cluster 61781	79.0	106
Cluster 46389	78.0	107
Cluster 70794	78.0	108
Cluster 81480	78.0	109
Cluster 82516	77.0	110
Cluster 89077	77.0	111
Cluster 43854	76.0	112
Cluster 45999	76.0	113
Cluster 55494	75.0	114
Cluster 66076	75.0	115
Cluster 17802	74.0	116
Cluster 63264	74.0	117
Cluster 86376	74.0	118
Cluster 5754	73.0	119
Cluster 14233	73.0	120
Cluster 78419	73.0	121
Cluster 23639	72.0	122
Cluster 49915	72.0	123
Cluster 7031	71.0	124
Cluster 20041	71.0	125
Cluster 43582	71.0	126
Cluster 64845	71.0	127
Cluster 73483	71.0	128
Cluster 74686	71.0	129
Cluster 9846	70.0	130
Cluster 19737	70.0	131
Cluster 76820	70.0	132
Cluster 10907	69.0	133
Cluster 11062	69.0	134
Cluster 16919	69.0	135
Cluster 54291	69.0	136
Cluster 78931	69.0	137
Cluster 1102	68.0	138
Cluster 17157	68.0	139
Cluster 26914	68.0	140
Cluster 54395	68.0	141
Cluster 32767	67.0	142
Cluster 46926	67.0	143
Cluster 77115	67.0	144
Cluster 83197	67.0	145
Cluster 69958	66.0	146
Cluster 17536	65.0	147
Cluster 60556	65.0	148
Cluster 2139	64.0	149
Cluster 15722	62.0	150
Cluster 31859	62.0	151
Cluster 36662	62.0	152
Cluster 50488	62.0	153
Cluster 92394	62.0	154
Cluster 18019	61.0	155
Cluster 52913	61.0	156
Cluster 2752	60.0	157
Cluster 68062	60.0	158
Cluster 22353	59.0	159
Cluster 50263	59.0	160
Cluster 922	58.0	161
Cluster 14545	58.0	162
Cluster 28219	58.0	163
Cluster 32794	58.0	164
Cluster 35077	58.0	165
Cluster 39740	58.0	166
Cluster 52063	58.0	167
Cluster 64724	58.0	168
Cluster 30170	57.0	169
Cluster 66590	56.0	170
Cluster 1502	55.0	171
Cluster 11444	55.0	172
Cluster 31846	55.0	173
Cluster 74608	55.0	174
Cluster 2768	54.0	175
Cluster 38606	54.0	176
Cluster 33067	53.0	177
Cluster 74032	53.0	178
Cluster 83674	53.0	179
Cluster 6283	52.0	180
Cluster 45572	52.0	181
Cluster 56619	52.0	182
Cluster 80526	52.0	183
Cluster 63724	51.0	184
Cluster 92462	51.0	185
Cluster 61340	50.0	186
Cluster 61574	50.0	187
Cluster 26120	49.0	188
Cluster 43717	49.0	189
Cluster 93568	49.0	190
Cluster 47421	48.0	191
Cluster 89859	48.0	192
Cluster 93451	48.0	193
Cluster 12176	47.0	194
