#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
1	8	1.0	0.590623834351245
1	19	1.0	0.55178701564927
1	20	1.0	0.580238833866055
1	33	1.0	0.587375258966209
1	34	1.0	0.521202603709676
1	36	1.0	0.599882973625598
1	41	1.0	0.538919502852175
1	47	1.0	0.577574210948697
1	69	1.0	0.593764294395152
1	74	1.0	0.567394284071359
2	19	1.0	0.599056858253406
2	33	1.0	0.58584788252112
2	36	1.0	0.575200194748471
2	52	1.0	0.599861616022562
2	66	1.0	0.568121909498961
2	74	1.0	0.544069979913693
102	108	3.0	0.447111515530071
102	109	3.0	0.466599995222093
102	110	3.0	0.473544028195615
102	115	2.0	0.553254456192771
102	116	2.0	0.497942894486874
102	122	4.0	0.566244572931481
102	124	17.0	0.547326278743217
102	130	2.0	0.598468921160297
102	131	1.0	0.445153129521175
102	133	14.0	0.508854009784713
102	138	7.0	0.543269704641281
102	143	1.0	0.586268116123579
102	144	11.0	0.528664790996579
102	150	11.0	0.576683956717483
102	157	16.0	0.566680361471402
102	164	1.0	0.567257982778018
102	165	8.0	0.563769203909628
102	171	6.0	0.544518758053198
102	175	1.0	0.459612730829575
102	176	3.0	0.522340501599481
102	181	1.0	0.466838026900567
102	182	11.0	0.505897369145773
102	186	1.0	0.500363936830698
102	193	4.0	0.491372304248837
102	196	14.0	0.53445001616944
102	200	20.0	0.4959872075241
102	203	9.0	0.470734031750582
102	208	30.0	0.56439781945978
102	210	10.0	0.59215127341836
102	217	19.0	0.569113582390724
102	218	30.0	0.586956572849692
102	219	30.0	0.554662419175453
102	229	15.0	0.581442604101515
102	232	32.0	0.587806884515592
102	234	19.0	0.587079738212704
102	236	40.0	0.590369088005366
102	240	6.0	0.540361463762118
102	243	1.0	0.566710767928093
102	244	5.0	0.567751624697952
102	246	15.0	0.521847787824265
102	247	15.0	0.528701697158524
102	253	4.0	0.463117684168796
102	263	1.0	0.557286743694677
102	264	5.0	0.595270532722347
102	268	2.0	0.553897328809845
102	270	4.0	0.586844152652263
102	275	18.0	0.557711060321589
102	276	3.0	0.540740423056261
102	278	7.0	0.59076856138803
102	281	23.0	0.595428569242233
102	282	3.0	0.594854160978561
102	283	10.0	0.599743860780944
102	286	12.0	0.562908295963667
102	289	10.0	0.585924961857642
102	291	9.0	0.596204360716099
102	296	19.0	0.559299415023432
102	297	17.0	0.57695855872793
102	299	5.0	0.561553857360629
102	300	7.0	0.540949806153376
102	301	3.0	0.537510527856746
102	302	5.0	0.534838752817241
102	305	24.0	0.576248507232227
102	307	24.0	0.578951083102636
102	309	4.0	0.55300030090905
102	310	9.0	0.571908486973432
102	311	22.0	0.587212826643047
102	314	21.0	0.575491294168278
102	315	22.0	0.589089919142979
102	316	2.0	0.542667312402865
102	317	7.0	0.553512404990522
102	318	23.0	0.583797524022514
102	319	9.0	0.579500617638239
102	320	11.0	0.553283854637159
102	321	2.0	0.534785031926123
102	322	4.0	0.562199998288792
102	323	5.0	0.533396613663231
102	324	17.0	0.547858422030578
102	325	16.0	0.599712912788915
102	326	3.0	0.548700963497357
102	327	11.0	0.574654412057192
102	328	21.0	0.59134135989495
102	331	8.0	0.599255677430745
102	343	7.0	0.524262101565028
102	344	16.0	0.555418479972061
102	345	12.0	0.555528591887403
102	359	1.0	0.538088485948503
102	360	12.0	0.53573791906029
102	363	8.0	0.547368211101546
102	364	1.0	0.55390305764481
102	367	2.0	0.491406024158332
102	369	13.0	0.540415270476771
102	377	14.0	0.572765017419992
102	378	6.0	0.582543215176807
102	380	1.0	0.561423634786681
102	382	4.0	0.572783778010509
103	109	45.0	0.588080602268615
103	130	4.0	0.58791404136038
103	134	3.0	0.564542263755968
103	168	7.0	0.568292450551522
103	388	1.0	0.547715386280387
103	170	14.0	0.588075208790444
103	226	44.0	0.59105178610448
103	235	12.0	0.595953696818762
103	248	128.0	0.572038884999516
103	255	3.0	0.555129407995724
103	273	3.0	0.566946372882877
103	390	2.0	0.583776011546653
103	335	1.0	0.53506770492157
103	336	108.0	0.578344724395779
103	393	6.0	0.578224950896351
103	337	101.0	0.595117737517288
103	395	6.0	0.593642447790765
103	359	12.0	0.599818680057472
103	368	154.0	0.596746610927097
104	130	2.0	0.517676077922867
104	134	3.0	0.589286480451358
104	197	9.0	0.576646935914934
104	268	2.0	0.527311819145479
3	19	1.0	0.571065080318041
3	29	1.0	0.594525450567884
3	74	1.0	0.589046651764509
105	134	2.0	0.52177945673392
105	168	6.0	0.579556262779304
105	388	1.0	0.531507430421199
105	197	3.0	0.567593843634888
105	226	48.0	0.569121441320775
105	273	3.0	0.593044152447975
105	335	1.0	0.552670735690249
105	339	1.0	0.598494714108368
105	361	12.0	0.563020170139144
106	124	1.0	0.56729803185158
106	132	1.0	0.523438050731006
106	136	2.0	0.595825938201806
106	141	1.0	0.531591331504201
106	147	1.0	0.548845669592892
106	148	4.0	0.57637668618933
106	149	4.0	0.583729183730374
106	153	1.0	0.580451621569141
106	157	1.0	0.578227066487507
106	159	1.0	0.477680077101159
106	160	1.0	0.503288366461862
106	163	4.0	0.549103045862626
106	166	1.0	0.57599124460932
106	172	2.0	0.573953258217169
106	174	1.0	0.526634406519778
106	177	1.0	0.52476861037648
106	179	1.0	0.543654578774564
106	187	1.0	0.58205327691133
106	190	1.0	0.590245676843497
106	192	4.0	0.570713059329819
106	201	3.0	0.528564077466429
106	205	1.0	0.551054054941148
106	207	1.0	0.545984041431214
106	214	4.0	0.581725663887263
106	215	1.0	0.482437726742744
106	220	4.0	0.580754805120684
106	222	2.0	0.524734388471582
106	236	1.0	0.50260731572559
106	242	3.0	0.590423077378991
106	252	1.0	0.555048084646599
106	256	1.0	0.534334474306202
106	257	5.0	0.593789185769677
106	262	1.0	0.544485809842305
106	265	1.0	0.510001999029163
106	279	1.0	0.576251521914125
106	283	1.0	0.582603905510989
106	284	4.0	0.590331408837141
106	286	1.0	0.559398336364409
106	287	4.0	0.599555686300833
106	291	1.0	0.558979958296771
106	297	1.0	0.580465213123465
106	303	1.0	0.568757100527018
106	304	4.0	0.589124210549338
106	305	4.0	0.579561343215833
106	306	4.0	0.594609767741761
106	307	3.0	0.58835178685892
106	308	3.0	0.584196876034615
106	311	4.0	0.596093163627012
106	312	4.0	0.598215686691307
106	314	3.0	0.573368780325222
106	315	3.0	0.587145943675438
106	318	2.0	0.573262888959939
106	324	3.0	0.581990436697607
106	325	1.0	0.558193937001073
106	327	2.0	0.583155655341959
106	328	1.0	0.5738469177933
106	330	4.0	0.570829759940268
106	332	4.0	0.579780363062344
106	337	1.0	0.578167580018388
106	340	4.0	0.561465608182018
106	346	1.0	0.53030922380772
106	349	4.0	0.589089619935782
106	351	4.0	0.594480773004735
106	354	1.0	0.570588507278002
106	355	1.0	0.520901683196839
106	356	4.0	0.550701877366523
106	357	2.0	0.57886931451005
106	370	2.0	0.598825905502988
106	371	3.0	0.576741749333851
106	372	1.0	0.581681667637642
106	375	4.0	0.567330769701956
106	377	1.0	0.569069534472371
106	383	3.0	0.593074483405164
106	386	1.0	0.496374411309785
106	387	4.0	0.591919993966031
78	406	1.0	0.546739532528492
78	407	1.0	0.583608399698802
78	408	1.0	0.543568380666757
78	411	1.0	0.555361398513102
107	110	2.0	0.58601903838693
107	125	8.0	0.573823261266521
107	131	1.0	0.549895371662763
107	152	1.0	0.588191721407374
107	161	7.0	0.58466029860099
107	168	2.0	0.584100932675441
107	181	23.0	0.57491262728806
107	195	10.0	0.559952912596359
107	243	2.0	0.578149425463207
107	395	5.0	0.590125850406059
107	350	39.0	0.572073136108052
412	413	2.0	0.580159105659558
412	420	1.0	0.588523984701887
412	425	5.0	0.589086357199337
412	431	1.0	0.586804848236819
412	432	2.0	0.558386805169532
412	433	1.0	0.532183877868813
412	440	1.0	0.550531107750215
412	443	1.0	0.597015358930876
412	444	2.0	0.585368663279772
