"ULK2"	"AASS"	+
"NSFL1C"	"AASS"	-
"ZMYND11"	"MPND"	-
"DPEP1"	"MPND"	+
"VRK2"	"MPND"	-
"ARNTL2"	"MPND"	-
"PNPLA6"	"MPND"	+
"CUL7"	"MPND"	+
"EPHA3"	"MPND"	-
"MRTO4"	"MPND"	+
"ZC3H11A"	"MPND"	-
"YIPF1"	"MPND"	+
"SPAG4"	"MPND"	+
"ZNF112"	"MPND"	-
"MTMR1"	"MPND"	-
"ADAT1"	"MPND"	-
"CYB5R4"	"MPND"	-
"HYAL2"	"MPND"	+
"IP6K2"	"MPND"	+
"IFT80"	"MPND"	-
"NUCKS1"	"MPND"	-
"BCL3"	"MPND"	+
"DGCR2"	"MPND"	+
"SLC6A15"	"MPND"	-
"ADGRL1"	"MPND"	+
"ASIC4"	"MPND"	+
"MPP5"	"MPND"	-
"CLASP1"	"MPND"	-
"FRYL"	"MPND"	-
"TMEM131"	"MPND"	-
"PTPN23"	"MPND"	+
"TM9SF3"	"MPND"	-
"NEBL"	"MPND"	-
"XRCC5"	"MPND"	-
"ME2"	"MPND"	-
"MYNN"	"MPND"	-
"CPNE3"	"MPND"	-
"PPP1R15A"	"MPND"	+
"NSFL1C"	"MPND"	+
"TMEM159"	"MGST1"	+
"PLD1"	"MGST1"	+
"ZNF446"	"MGST1"	-
"DGCR2"	"MAPK8IP2"	+
"PTPN23"	"MAPK8IP2"	+
"RABL2B"	"MAPK8IP2"	+
"CYP3A43"	"IDS"	+
"PNPLA6"	"IDS"	-
"MSR1"	"IDS"	+
"CUL7"	"IDS"	-
"SCML1"	"IDS"	+
"ZC3H11A"	"IDS"	+
"ZNF112"	"IDS"	+
"MTMR1"	"IDS"	+
"CYB5R4"	"IDS"	+
"HYAL2"	"IDS"	-
"IP6K2"	"IDS"	-
"CLASP1"	"IDS"	+
"TMEM131"	"IDS"	+
"TM9SF3"	"IDS"	+
"ULK2"	"IDS"	+
"CPNE3"	"IDS"	+
"NSFL1C"	"IDS"	-
"CYP3A43"	"CLCN6"	+
"YIPF1"	"CLCN6"	-
"ZNF112"	"CLCN6"	+
"DNTTIP2"	"CLCN6"	-
"MPP5"	"CLCN6"	+
"CLASP1"	"CLCN6"	+
"FRYL"	"CLCN6"	+
"XRCC5"	"CLCN6"	-
"ULK2"	"CLCN6"	+
"NSFL1C"	"CLCN6"	-
"YIPF1"	"UTP18"	+
"ADAT1"	"UTP18"	+
"CYB5R4"	"UTP18"	+
"PVR"	"UTP18"	+
"TM9SF3"	"UTP18"	+
