"RARB"	"MARK4"	-
"ZNF446"	"MARK4"	+
"FAT1"	"MARK4"	-
"ENO1"	"CRAMP1"	-
"PLD1"	"CRAMP1"	-
"ME2"	"CRAMP1"	-
"ZNF446"	"CRAMP1"	+
"ATG16L1"	"CRAMP1"	+
"MPND"	"AASS"	-
"MAPK8IP2"	"AASS"	-
"IDS"	"AASS"	+
"CLCN6"	"AASS"	+
"UTP18"	"AASS"	-
"SNX1"	"AASS"	+
"ARID4A"	"AASS"	+
"METTL1"	"AASS"	-
"C6"	"AASS"	+
"EPHA3"	"AASS"	+
"GPM6B"	"AASS"	+
"SCML1"	"AASS"	+
"MRPS10"	"AASS"	-
"VAMP3"	"AASS"	+
"FOXP3"	"AASS"	-
"MRTO4"	"AASS"	-
"GYG2"	"AASS"	+
"PRDM1"	"AASS"	+
"TMCC3"	"AASS"	+
"SPAG4"	"AASS"	-
"COL17A1"	"AASS"	+
"CLDN18"	"AASS"	+
"COASY"	"AASS"	-
"MAST4"	"AASS"	+
"BCL3"	"AASS"	-
"ST6GALNAC1"	"AASS"	+
"HMMR"	"AASS"	-
"PVR"	"AASS"	-
"MCM2"	"AASS"	-
"MGLL"	"AASS"	+
"IPCEF1"	"AASS"	+
"ENO1"	"AASS"	-
"FOSL2"	"AASS"	+
"PLD1"	"AASS"	+
"MCAM"	"AASS"	+
"RARB"	"AASS"	+
"CDC14A"	"AASS"	+
"HSP90AA1"	"AASS"	-
"ZNF446"	"AASS"	-
"FAT1"	"AASS"	+
"SLCO1A2"	"AASS"	+
"ERO1B"	"AASS"	+
"MAPK8IP2"	"MPND"	+
"IDS"	"MPND"	-
"CLCN6"	"MPND"	-
"ARID4A"	"MPND"	-
"METTL1"	"MPND"	+
"GPM6B"	"MPND"	-
"PRDM1"	"MPND"	-
"TMCC3"	"MPND"	-
"CLDN18"	"MPND"	-
"COASY"	"MPND"	+
"PLD1"	"MPND"	-
"RARB"	"MPND"	-
"CDC14A"	"MPND"	-
"ZNF446"	"MPND"	+
"FAT1"	"MPND"	-
"SLCO1A2"	"MPND"	-
"VAMP3"	"MGST1"	+
"GYG2"	"MGST1"	+
"MGLL"	"MGST1"	+
"MCAM"	"MGST1"	+
"CLCN6"	"MAPK8IP2"	-
"UTP18"	"MAPK8IP2"	+
"TMEM159"	"MAPK8IP2"	-
"ARNTL2"	"MAPK8IP2"	-
"ARID4A"	"MAPK8IP2"	-
"C6"	"MAPK8IP2"	-
"GPM6B"	"MAPK8IP2"	-
"SCML1"	"MAPK8IP2"	-
"VAMP3"	"MAPK8IP2"	-
"GYG2"	"MAPK8IP2"	-
"TMCC3"	"MAPK8IP2"	-
"SPAG4"	"MAPK8IP2"	+
"PHKA1"	"MAPK8IP2"	+
"COASY"	"MAPK8IP2"	+
"BCL3"	"MAPK8IP2"	+
"ST6GALNAC1"	"MAPK8IP2"	-
"ADGRL1"	"MAPK8IP2"	+
"HMMR"	"MAPK8IP2"	+
"MCM2"	"MAPK8IP2"	+
"CLASP1"	"MAPK8IP2"	-
"PLD1"	"MAPK8IP2"	-
"MCAM"	"MAPK8IP2"	-
"RARB"	"MAPK8IP2"	-
"NEBL"	"MAPK8IP2"	+
"ZNF446"	"MAPK8IP2"	+
"FAT1"	"MAPK8IP2"	-
"SLCO1A2"	"MAPK8IP2"	-
"HSD17B2"	"MAPK8IP2"	-
"PPP1R15A"	"MAPK8IP2"	-
"HMMR"	"PAX7"	+
"MCM2"	"PAX7"	+
"CLCN6"	"IDS"	+
"ZMYND11"	"IDS"	+
"SNX1"	"IDS"	+
"ARID4A"	"IDS"	+
"METTL1"	"IDS"	-
"EPHA3"	"IDS"	+
