109	94
22	63	1.0
22	65	1.0
22	66	1.0
22	68	1.0
22	69	1.0
23	66	1.0
23	68	1.0
23	83	1.0
23	84	1.0
23	86	1.0
23	87	1.0
23	94	1.0
24	56	1.0
24	60	1.0
24	69	1.0
24	71	1.0
25	66	1.0
25	71	1.0
25	83	1.0
25	84	1.0
25	92	1.0
26	68	-1.0
26	83	-1.0
26	84	-1.0
26	86	-1.0
26	87	-1.0
26	94	-1.0
27	62	-1.0
27	68	-1.0
27	83	-1.0
27	86	-1.0
27	94	-1.0
28	51	-1.0
28	52	-1.0
28	85	-1.0
29	68	-1.0
29	70	-1.0
29	83	-1.0
29	86	-1.0
29	94	-1.0
30	63	1.0
30	73	1.0
30	83	1.0
30	86	1.0
30	94	1.0
31	68	1.0
31	83	1.0
31	84	1.0
31	86	1.0
31	94	1.0
32	53	-1.0
32	54	-1.0
32	93	-1.0
33	46	-1.0
33	47	-1.0
34	48	1.0
34	49	1.0
35	63	1.0
35	73	1.0
35	83	1.0
35	86	1.0
36	66	1.0
36	83	1.0
36	84	1.0
36	86	1.0
37	63	1.0
37	67	1.0
37	71	1.0
38	72	1.0
38	90	1.0
38	91	1.0
38	93	-1.0
39	61	1.0
39	64	1.0
40	83	-1.0
40	86	-1.0
40	87	-1.0
40	94	-1.0
41	83	-1.0
41	86	-1.0
41	87	-1.0
41	94	-1.0
42	83	1.0
42	86	1.0
42	94	1.0
43	83	1.0
43	86	1.0
43	94	1.0
44	83	1.0
44	86	1.0
44	94	1.0
45	83	1.0
45	86	1.0
45	94	1.0
46	90	1.0
46	91	1.0
46	93	-1.0
47	83	1.0
47	92	1.0
47	94	1.0
48	86	-1.0
48	87	-1.0
48	94	-1.0
49	69	1.0
49	92	1.0
50	88	-1.0
50	91	-1.0
51	83	1.0
51	86	1.0
52	83	1.0
52	86	1.0
53	89	-1.0
53	91	-1.0
54	89	-1.0
54	91	-1.0
55	89	-1.0
55	91	-1.0
56	86	-1.0
56	94	-1.0
57	86	-1.0
57	94	-1.0
58	86	-1.0
58	94	-1.0
59	74	-1.0
60	75	-1.0
61	76	-1.0
62	77	-1.0
63	78	-1.0
64	79	-1.0
65	80	-1.0
66	81	-1.0
67	68	-1.0
68	90	1.0
68	91	1.0
69	91	1.0
69	93	-1.0
70	91	1.0
70	93	-1.0
71	92	-1.0
71	94	-1.0
72	82	1.0
73	88	-1.0
74	85	-1.0
75	85	-1.0
76	85	-1.0
77	86	1.0
78	86	1.0
79	86	1.0
80	86	1.0
81	86	1.0
82	86	-1.0
83	86	1.0
84	86	-1.0
85	86	-1.0
86	86	1.0
87	86	1.0
88	90	1.0
89	92	1.0
90	92	-1.0
91	89	-1.0
92	89	-1.0
93	89	-1.0
94	89	-1.0
95	89	-1.0
96	89	-1.0
97	91	1.0
98	91	1.0
99	91	1.0
100	91	1.0
101	91	-1.0
102	91	1.0
103	91	1.0
104	91	1.0
105	91	1.0
106	93	-1.0
107	94	1.0
108	94	-1.0
109	94	-1.0
