CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 34909	0.24642416407823034	1
Cluster 83354	0.08000171102024979	2
Cluster 18410	0.07124724479269065	3
Cluster 5042	0.06763573597387156	4
Cluster 70240	0.04895364206114168	5
Cluster 80727	0.041119253822364345	6
Cluster 11394	0.03390794374135746	7
Cluster 24330	0.02216179796180409	8
Cluster 34745	0.021324055902494365	9
Cluster 50492	0.019643475591090344	10
Cluster 93686	0.019643475591090344	11
Cluster 61082	0.01606681870978893	12
Cluster 80948	0.01443307481052695	13
Cluster 33345	0.014061023242865206	14
Cluster 3700	0.013252257977086604	15
Cluster 61020	0.010710287458971058	16
Cluster 40911	0.010178820534849774	17
Cluster 12180	0.009727040967008906	18
Cluster 22036	0.009727040967008906	19
Cluster 28185	0.009727040967008906	20
Cluster 33924	0.009727040967008906	21
Cluster 34202	0.009727040967008906	22
Cluster 44144	0.009727040967008906	23
Cluster 57488	0.009727040967008906	24
Cluster 78422	0.009727040967008906	25
Cluster 61762	0.008983871149787801	26
Cluster 38137	0.007689058598298368	27
Cluster 14676	0.0074653595654097914	28
Cluster 79814	0.007012135094278613	29
Cluster 78490	0.006579188163146556	30
Cluster 76829	0.006223144458606704	31
Cluster 16034	0.005457261564711272	32
Cluster 79424	0.005120809081111826	33
Cluster 79906	0.005102603832824531	34
Cluster 66051	0.0049106183577882255	35
Cluster 79422	0.004763835029046414	36
Cluster 26918	0.004717344720661211	37
Cluster 18269	0.004661318093458256	38
Cluster 90499	0.0044315307245984484	39
Cluster 90410	0.003709203821543301	40
Cluster 78035	0.0035170715043183385	41
Cluster 42067	0.003444565082350866	42
Cluster 22787	0.0034213614366366573	43
Cluster 46008	0.003338128184252834	44
Cluster 30667	0.0032019031913239327	45
Cluster 59707	0.0030131942476247326	46
Cluster 3973	0.0028307568459447364	47
Cluster 45004	0.002469647551700527	48
Cluster 46522	0.002469647551700527	49
Cluster 90239	0.002469647551700527	50
Cluster 50119	0.0024665510407016864	51
Cluster 49833	0.002313954561836388	52
Cluster 50597	0.0021947670527565698	53
Cluster 68477	0.0021947670527565698	54
Cluster 43578	0.0021396767535259175	55
Cluster 67878	0.002095516793297556	56
Cluster 54702	0.0020813117914424916	57
Cluster 91559	0.0020813117914424916	58
Cluster 30403	0.001952690357447042	59
Cluster 72957	0.0017777075535087912	60
Cluster 33846	0.00173479764367359	61
Cluster 91401	0.0016481238458335224	62
Cluster 22376	0.0015332968522524713	63
Cluster 38638	0.0015332968522524713	64
Cluster 68820	0.0015332968522524713	65
Cluster 40230	0.0015191750527286428	66
Cluster 5366	0.0010713531267553924	67
Cluster 6119	0.0009866536453294241	68
Cluster 12090	0.0009866536453294241	69
Cluster 28362	0.0009866536453294241	70
Cluster 32043	0.0009866536453294241	71
Cluster 68451	0.0009866536453294241	72
Cluster 76388	0.0009866536453294241	73
Cluster 1185	0.0008320989575656007	74
Cluster 13261	0.0008320989575656007	75
Cluster 45890	0.0008320989575656007	76
Cluster 58023	0.0008320989575656007	77
Cluster 25320	0.0007677488888216923	78
Cluster 226	0.0005466432069230471	79
Cluster 7576	0.0005466432069230471	80
Cluster 14084	0.0005466432069230471	81
Cluster 21278	0.0005466432069230471	82
Cluster 22454	0.0005466432069230471	83
Cluster 26999	0.0005466432069230471	84
Cluster 66562	0.0005466432069230471	85
Cluster 70159	0.0005466432069230471	86
Cluster 76622	0.0005466432069230471	87
Cluster 45377	0.0005462849615028385	88
Cluster 69060	0.0005462849615028385	89
Cluster 3785	0.0005284947196319008	90
Cluster 25281	0.0005284947196319008	91
Cluster 42129	0.0005284947196319008	92
Cluster 60603	0.00048193489275893004	93
Cluster 62557	0.00048193489275893004	94
Cluster 80510	0.0004393793479300577	95
Cluster 8902	0.00028581399606276227	96
Cluster 10901	0.00028581399606276227	97
Cluster 11392	0.00028581399606276227	98
Cluster 3009	0.00024268072356913853	99
Cluster 17458	0.00024268072356913853	100
Cluster 32767	0.00024268072356913853	101
Cluster 33213	0.00024268072356913853	102
Cluster 46347	0.00024268072356913853	103
Cluster 54291	0.00024268072356913853	104
Cluster 55494	0.00024268072356913853	105
Cluster 66076	0.00024268072356913853	106
Cluster 86376	0.00024268072356913853	107
Cluster 89519	0.00024268072356913853	108
Cluster 91366	0.00024268072356913853	109
