nearestTranscript	Occurance
uc001lpe.1	3
uc002hsn.1	3
uc003sld.1	3
uc001uxn.3	3
uc010fqj.1	3
uc011diu.1	3
uc001ont.3	3
uc001yoh.1	3
uc003try.2	3
uc003kxt.2	3
uc003ekl.1	3
uc001opr.3	3
uc011kls.1	3
uc003fxk.4	3
uc011bgb.2	3
uc002luu.3	3
uc001myc.3	3
uc001cxe.4	3
uc001czf.2	3
uc003bxt.3	3
uc010tax.2	3
uc001axn.3	3
uc002ttp.3	3
uc003nwz.4	3
uc002mbp.3	3
uc002tmk.3	3
uc002ena.3	3
uc001ntk.2	3
uc003vdf.2	3
uc011dlw.2	3
uc003wsi.3	3
uc003vvh.3	3
uc021ywr.1	3
uc002qpg.3	3
uc003xgc.3	3
uc003xwt.3	3
uc002vxz.3	3
uc001ctn.4	3
uc001doh.3	3
uc002crr.4	3
uc003yhy.3	3
uc010yrw.2	3
uc004bcr.3	3
uc021thv.1	3
uc001iic.2	3
uc002wno.3	3
uc001hlq.4	3
uc011ayh.2	3
uc003llm.3	3
uc003tac.1	3
uc001gwm.3	3
uc003nrn.3	3
uc021txl.1	3
uc031pst.1	3
uc002xuv.2	3
uc002nir.1	3
uc010qam.2	3
uc002arn.2	3
uc002odm.1	3
uc003lce.3	3
uc002wqc.3	3
uc002fur.3	3
uc031qid.1	3
uc003eoe.3	3
uc001fcf.4	2
uc031qxb.1	2
uc001fxk.3	2
uc002gje.2	2
uc001hgv.1	2
uc003uat.3	2
uc002jiw.3	2
uc021pmz.1	2
uc002tdl.3	2
uc001aqh.3	2
uc010ygc.2	2
uc003csw.2	2
uc002xnu.3	2
uc001aoz.3	2
uc010vco.2	2
uc003wum.3	2
uc001ago.3	2
uc003ned.2	2
uc021tus.1	2
uc002rsv.4	2
uc010dhh.1	2
uc010qfb.1	2
uc002slc.3	2
uc001jzx.3	2
uc002yao.1	2
uc003mgs.1	2
uc002hxr.2	2
uc001xrp.3	2
uc010zoq.2	2
uc002dlq.3	2
uc002vrz.3	2
uc002jft.2	2
uc010fyf.3	2
uc002jtw.3	2
uc010uzc.2	2
uc011baq.3	2
uc010sqb.2	2
uc003xvu.3	2
uc002swe.3	2
uc001kqj.2	2
uc003kwy.3	2
uc002egi.3	2
uc003mkw.4	2
uc010uuw.1	2
uc003cda.1	2
uc003kwi.3	2
uc002ruw.3	2
uc004bwv.3	2
uc004clt.3	2
uc021yux.1	2
uc003nuj.3	2
uc003xca.3	2
uc010sca.1	2
uc002grt.2	2
uc001nfd.3	2
uc001qrk.4	2
uc003bqe.1	2
uc002jjn.3	2
uc001hkg.2	2
uc001pyw.2	2
uc003dvp.3	2
uc002wxg.2	2
uc010ibo.3	2
uc002cok.3	2
uc021wcx.1	2
uc003kln.4	2
uc010ojb.1	2
uc021zyw.1	2
uc001blu.3	2
uc002tzn.3	2
uc010vjp.2	2
uc001ufv.1	2
uc003sne.3	2
uc001gid.5	2
uc001aue.1	2
uc003ojq.2	2
uc010ioj.3	2
uc002fnd.3	2
uc001zkf.1	2
uc001fcg.3	2
uc001pug.3	2
uc001iig.2	2
uc001hvf.3	2
uc002chl.3	2
uc003yhn.2	2
uc031quw.1	2
uc010prh.1	2
uc001rco.3	2
uc009vsy.3	2
uc011bsi.2	2
uc001vej.3	2
uc010fql.2	2
uc003nrq.3	2
uc031qfg.1	2
uc001lqp.2	2
uc001zlw.3	2
uc001imq.3	2
uc021xkd.1	2
uc001qmp.3	2
uc003yuk.2	2
uc001obs.4	2
uc010jpk.1	2
uc002lzh.3	2
uc011aas.1	2
uc002yuh.3	2
uc002mze.3	2
uc031qnl.1	2
uc002lpo.3	2
uc004bdg.3	2
uc001kzd.3	2
uc002jui.1	2
uc003nmt.4	2
uc010qru.2	2
uc010vlm.2	2
uc001rba.3	2
uc002fas.2	2
uc011awm.2	2
uc002yvs.3	2
uc001gmn.2	2
uc004amo.2	2
uc009xeo.1	2
uc010hci.3	2
uc001osy.3	2
uc002mxu.3	2
uc001iie.1	2
uc010ocz.2	2
uc002gge.4	2
uc002ive.2	2
uc021qrh.1	2
uc002aqg.3	2
uc001kpc.3	2
uc002mqz.2	2
uc011kgp.1	2
uc001ptg.1	2
uc002cwj.1	2
uc001gny.3	2
