subjectHits	Occurance
2201	2
15089	2
1736	2
11443	2
31418	2
36706	2
6914	2
13014	2
6731	2
27604	2
39280	2
41821	2
11538	2
36601	2
24821	2
23737	2
20824	2
39521	2
28785	2
14562	2
37355	2
23976	2
25739	2
10157	2
11888	2
32827	2
41741	2
12739	2
395	2
18413	2
20200	2
17814	2
11360	2
41052	2
20461	2
20296	2
32533	2
40138	2
42043	2
19555	2
9208	2
19280	2
13169	2
11378	2
21076	2
11283	2
13608	2
30106	2
6190	2
34834	2
24866	2
8885	2
32084	2
4317	2
12098	2
10935	2
16069	2
27917	2
21199	2
18057	2
35576	2
36414	2
24001	2
15201	2
20933	2
35415	2
30591	2
22573	2
18877	2
7892	2
11177	2
34641	2
17559	2
26421	2
4316	2
5091	2
38583	2
34016	2
7535	2
9223	2
28202	2
12337	2
34439	2
2271	2
10425	2
24983	2
17065	2
16563	2
29081	2
21137	2
18288	2
34952	2
39985	2
26940	2
17289	2
2718	2
34768	2
28958	2
21316	2
36320	2
23179	2
5214	2
10165	2
15287	2
8921	2
2895	2
4711	2
15960	2
38827	2
17811	2
11015	2
5643	2
16309	2
33613	2
9484	2
24789	2
4450	2
22228	2
23793	2
10456	2
34143	2
33093	2
23910	2
16137	2
15009	2
39866	2
1005	2
3139	2
12451	2
15463	2
40400	2
33310	2
22020	2
29953	2
1557	2
26673	2
10543	2
30038	2
6940	2
39085	2
24428	2
28457	2
41716	2
10764	2
34859	2
16075	2
25323	2
29223	2
39984	2
18722	2
32989	2
38161	2
18835	2
16049	2
15517	2
22123	2
7425	2
16562	2
747	2
40079	2
10928	2
36546	2
30158	2
9124	2
37959	2
13414	2
35939	2
6641	2
18093	2
6721	2
5106	2
24158	2
35388	2
28324	2
6941	2
17777	2
41523	2
666	2
24680	2
40860	2
29228	2
23572	2
34077	2
16672	2
26207	2
30059	2
1567	2
40565	2
12603	2
6758	2
7350	2
39778	2
6909	2
1638	2
18440	2
4478	2
31816	2
8585	2
4848	2
2736	2
10212	2
7792	2
5066	1
2948	1
31876	1
18091	1
30190	1
18828	1
1071	1
14244	1
1080	1
668	1
442	1
19933	1
11042	1
10662	1
41812	1
23265	1
15376	1
35901	1
18936	1
8177	1
38863	1
41582	1
24606	1
41544	1
24908	1
34835	1
29978	1
4397	1
519	1
17839	1
38073	1
36715	1
25934	1
2212	1
4401	1
9031	1
4477	1
30321	1
30182	1
38775	1
32645	1
22106	1
27937	1
12439	1
39477	1
14528	1
10230	1
31116	1
37484	1
39745	1
9587	1
41495	1
36451	1
30657	1
10112	1
31603	1
10390	1
20966	1
13705	1
14023	1
9796	1
17082	1
21016	1
1149	1
25320	1
25379	1
12445	1
4242	1
32925	1
41982	1
4182	1
11732	1
9629	1
26456	1
3686	1
24114	1
35398	1
34032	1
28897	1
36435	1
24705	1
6685	1
10942	1
13870	1
19336	1
25743	1
6933	1
8676	1
16693	1
26126	1
31246	1
20846	1
24910	1
5633	1
26390	1
33411	1
32929	1
38220	1
23909	1
20781	1
13588	1
20749	1
8728	1
37268	1
28440	1
37645	1
17152	1
22313	1
25761	1
19408	1
32901	1
40231	1
12284	1
7481	1
2355	1
41270	1
23819	1
40697	1
20407	1
29001	1
37135	1
3835	1
29304	1
30267	1
38958	1
6123	1
14871	1
24214	1
37307	1
25424	1
6510	1
26941	1
37154	1
38579	1
5723	1
25986	1
34705	1
26980	1
11112	1
31060	1
15557	1
42090	1
5125	1
4721	1
7456	1
106	1
5183	1
4368	1
21285	1
3852	1
12207	1
7720	1
35469	1
40614	1
31557	1
24887	1
21450	1
4948	1
3487	1
19891	1
1349	1
18072	1
39478	1
12498	1
22508	1
5968	1
20013	1
35101	1
37689	1
6541	1
37705	1
4649	1
26434	1
33089	1
29762	1
7643	1
3375	1
35894	1
12150	1
40619	1
11019	1
12504	1
18109	1
36702	1
8460	1
18979	1
31150	1
40295	1
12344	1
3829	1
12680	1
25681	1
23253	1
10757	1
34910	1
42163	1
29546	1
4680	1
33712	1
28756	1
18567	1
26173	1
25333	1
32199	1
29761	1
35989	1
31172	1
22489	1
31638	1
30745	1
23780	1
11986	1
20122	1
38791	1
15682	1
30691	1
