gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
CFI	5780	AHUS3|ARMD13|C3BINA|C3b-INA|FI|IF|KAF	CFI
IFI16	555	IFNGIP1|PYHIN2	IFI16
IFI27	257	FAM14D|ISG12|ISG12A|P27	IFI27
IFI35	72	IFP35	IFI35
SP110	108	IFI41|IFI75|IPR1|VODI	SP110
IFIT2	244	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54|ISG-54 K|ISG-54K|ISG54|P54|cig42	IFIT2
IFIT1	557	C56|G10P1|IFI-56|IFI-56K|IFI56|IFIT-1|IFNAI1|ISG56|P56|RNM561	IFIT1
IFIT3	330	CIG-49|GARG-49|IFI60|IFIT4|IRG2|ISG60|P60|RIG-G|cig41	IFIT3
IFNA1	139	IFL|IFN|IFN-ALPHA|IFN-alphaD|IFNA13|IFNA@|leIF D	IFNA1
IFNA2	128	IFN-alpha-2|IFN-alphaA|IFNA|IFNA2B|leIF A	IFNA2
IFNA4	33	IFN-alpha4a|INFA4	IFNA4
IFNA5	21	IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G	IFNA5
IFNA6	19	IFN-alphaK	IFNA6
IFNA7	9	IFN-alphaJ|IFNA-J	IFNA7
IFNA8	29	IFN-alphaB	IFNA8
IFNA10	14	IFN-alphaC	IFNA10
IFNA13	10	-	IFNA13
IFNA14	9	IFN-alphaH|LEIF2H	IFNA14
IFNA16	6	IFN-alpha-16|IFN-alphaO	IFNA16
IFNA17	25	IFN-alphaI|IFNA|INFA|LEIF2C1	IFNA17
IFNA21	8	IFN-alphaI|LeIF F|leIF-F	IFNA21
IFNAR1	1347	AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC|IMD106	IFNAR1
IFNAR2	529	IFN-R|IFN-R-2|IFN-alpha-REC|IFNABR|IFNARB|IMD45	IFNAR2
IFNB1	275	IFB|IFF|IFN-beta|IFNB	IFNB1
IFNG	4272	IFG|IFI|IMD69	IFNG
IFNGR1	451	CD119|IFNGR|IMD27A|IMD27B	IFNGR1
IFNGR2	250	AF-1|IFGR2|IFNGT1|IMD28	IFNGR2
IFNW1	11	-	IFNW1
IFRD1	90	PC4|TIS7	IFRD1
IGBP1	71	ALPHA-4|IBP1|MRXS28|alpha4	IGBP1
IGF1	22914	IGF|IGF-I|IGFI|MGF	IGF1
IGF1R	9872	CD221|IGFIR|IGFR|JTK13	IGF1R
IGF2	5054	C11orf43|GRDF|IGF-II|PP9974|SRS3	IGF2
IGF2R	973	CD222|CI-M6PR|CIMPR|M6P-R|M6P/IGF2R|MPR 300|MPR1|MPR300|MPRI	IGF2R
IGFALS	125	ACLSD|ALS	IGFALS
IGFBP1	3592	AFBP|IBP1|IGF-BP25|PP12|hIGFBP-1	IGFBP1
IGFBP2	2698	IBP2|IGF-BP53	IGFBP2
IGFBP3	8097	BP-53|IBP3	IGFBP3
IGFBP4	1249	BP-4|HT29-IGFBP|IBP4|IGFBP-4	IGFBP4
IGFBP5	1388	IBP5	IGFBP5
IGFBP6	558	IBP6	IGFBP6
IGFBP7	750	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	IGFBP7
CCN1	922	CYR61|GIG1|IGFBP10	CCN1
IGH	6376	IGD1|IGH.1@|IGH@|IGHD@|IGHDY1|IGHJ|IGHJ@|IGHV|IGHV@	IGH
IGHMBP2	152	CATF1|CMT2S|HCSA|HMN6|SMARD1|SMUBP2|ZFAND7	IGHMBP2
JCHAIN	212	IGCJ|IGJ|JCH	JCHAIN
RBPJ	990	AOS3|CBF-1|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBP-J kappa|RBP-JK|RBPJK|RBPSUH|SUH|csl	RBPJ
IGL	1275	IGL@|IGLC6	IGL
IGLL1	50	14.1|AGM2|CD179b|IGL1|IGL5|IGLJ14.1|IGLL|IGO|IGVPB|VPREB2	IGLL1
IGSF1	96	CHTE|IGCD1|IGDC1|INHBP|PGSF2|p120	IGSF1
IHH	1778	BDA1|HHG2	IHH
IK	8583	CSA2|RED|RER	IK
IKBKB	6310	IKK-beta|IKK2|IKKB|IMD15|IMD15A|IMD15B|NFKBIKB	IKBKB
IL1A	1648	IL-1 alpha|IL-1A|IL1|IL1-ALPHA|IL1F1	IL1A
IL1B	9638	IL-1|IL1-BETA|IL1F2|IL1beta	IL1B
IL1R1	1135	CD121A|D2S1473|IL-1R-alpha|IL-1RT1|IL1R|IL1RA|P80	IL1R1
IL1RAP	250	C3orf13|IL-1RAcP|IL1R3	IL1RAP
IL1RN	3572	DIRA|ICIL-1RA|IL-1RN|IL-1ra|IL-1ra3|IL1F3|IL1RA|IRAP|MVCD4	IL1RN
IL2	56026	IL-2|TCGF|lymphokine	IL2
IL2RA	1978	CD25|IDDM10|IL2R|IMD41|TCGFR|p55	IL2RA
IL2RB	371	CD122|IL15RB|IMD63|P70-75	IL2RB
IL2RG	1119	CD132|CIDX|IL-2RG|IMD4|P64|SCIDX|SCIDX1	IL2RG
IL3	8371	IL-3|MCGF|MULTI-CSF	IL3
IL3RA	333	CD123|IL-3R-alpha|IL3R|IL3RAY|IL3RX|IL3RY|hIL-3Ra	IL3RA
IL4	50662	BCGF-1|BCGF1|BSF-1|BSF1|IL-4	IL4
IL4R	1248	CD124|IL-4RA|IL4RA	IL4R
IL5	15949	EDF|IL-5|TRF	IL5
IL5RA	152	CD125|CDw125|HSIL5R3|IL5R	IL5RA
IL6	155172	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	IL6
IL6R	2686	CD126|HIES5|IL-1Ra|IL-6R|IL-6R-1|IL-6RA|IL6Q|IL6QTL|IL6RA|IL6RQ|gp80	IL6R
IL6ST	1241	CD130|CDW130|GP130|HIES4|HIES4A|HIES4B|IL-6RB|IMD94|STWS2|sGP130	IL6ST
IL7	5692	IL-7	IL7
IL7R	1222	CD127|CDW127|IL-7R-alpha|IL-7Ralpha|IL7RA|IL7Ralpha|ILRA|IMD104|lnc-IL7R|sIL-7R	IL7R
CXCL8	6917	GCP-1|GCP1|IL8|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1|SCYB8	CXCL8
CXCR1	1470	C-C|C-C-CKR-1|CD128|CD181|CDw128a|CKR-1|CMKAR1|IL8R1|IL8RA|IL8RBA	CXCR1
IL9	2421	HP40|IL-9|P40	IL9
CXCR2	3001	CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB|WHIMS2	CXCR2
IL9R	184	CD129|IL-9R	IL9R
IL10	80335	CSIF|GVHDS|IL-10|IL10A|TGIF	IL10
IL10RA	263	CD210|CD210a|CDW210A|HIL-10R|IL-10R1|IL10R	IL10RA
IL10RB	235	CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IBD25|IL-10R2|IL-10RB	IL10RB
IL11	2787	AGIF|IL-11	IL11
IL11RA	187	CRSDA	IL11RA
IL12A	649	CLMF|IL-12A|NFSK|NKSF1|P35	IL12A
IL12B	1077	CLMF|CLMF2|IL-12B|IMD28|IMD29|NKSF|NKSF2	IL12B
IL12RB1	344	CD212|IL-12R-BETA1|IL12RB|IMD30	IL12RB1
IL12RB2	302	-	IL12RB2
IL13	16790	IL-13|P600	IL13
IL13RA1	404	CD213A1|CT19|IL-13Ra|NR4	IL13RA1
IL13RA2	124	CD213A2|CT19|IL-13R|IL13BP	IL13RA2
IL15	7465	IL-15	IL15
IL15RA	363	CD215	IL15RA
IL16	1258	LCF|NIL16|PRIL16|prIL-16	IL16
TNFRSF9	542	4-1BB|CD137|CDw137|ILA|IMD109	TNFRSF9
IL17A	11097	CTLA-8|CTLA8|IL-17|IL-17A|IL17|ILA17	IL17A
IL18	15737	IGIF|IL-18|IL-1g|IL1F4	IL18
FOXK2	75	ILF|ILF-1|ILF1|nGTBP	FOXK2
ILF2	139	NF45|PRO3063	ILF2
ILF3	259	CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|MPP4110|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NF90c|NF90ctv|NFAR|NFAR-1|NFAR-2|NFAR110|NFAR2|NFAR90|TCP110|TCP80	ILF3
ILK	1914	HEL-S-28|ILK-1|ILK-2|P59|p59ILK	ILK
IMPA1	65	IMP|IMPA|MRT59	IMPA1
IMPA2	59	-	IMPA2
IMPDH1	182	IMPD|IMPD1|IMPDH-I|LCA11|RP10|sWSS2608	IMPDH1
IMPDH2	224	IMPD2|IMPDH-II	IMPDH2
IMPG1	37	GP147|IPM150|RP91|SPACR|VMD4	IMPG1
INCENP	345	-	INCENP
IDO1	1969	IDO|IDO-1|INDO	IDO1
ING1	297	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a	ING1
ING2	144	ING1L|p33ING2	ING2
INHA	10686	-	INHA
INHBA	445	EDF|FRP	INHBA
INHBB	245	-	INHBB
INHBC	47	IHBC	INHBC
CXCL10	8696	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	CXCL10
INPP1	26	-	INPP1
INS	17548	IDDM|IDDM1|IDDM2|ILPR|IRDN|MODY10|PNDM4	INS
INPP4A	51	INPP4|TVAS1	INPP4A
INPP5A	38	5PTASE	INPP5A
INPP5B	42	5PTase	INPP5B
INPP5D	362	SHIP|SHIP-1|SHIP1|SIP-145|hp51CN|p150Ship	INPP5D
INPPL1	512	OPSMD|SHIP2	INPPL1
INSIG1	389	CL6	INSIG1
INSL3	652	RLF|RLNL|ley-I-L	INSL3
INSL4	57	EPIL|PLACENTIN	INSL4
INSM1	284	IA-1|IA1	INSM1
INSR	1517	CD220|HHF5	INSR
INSRR	113	IRR	INSRR
EIF3E	103	EIF3-P48|EIF3S6|INT6|eIF3-p46	EIF3E
PDX1	3042	GSF|IDX-1|IPF1|IUF1|MODY4|PAGEN1|PDX-1|STF-1	PDX1
IPP	4370	KLHL27	IPP
IRAK1	1384	IRAK|pelle	IRAK1
ITGA6	388	CD49f|ITGA6A|ITGA6B|JEB6|VLA-6	ITGA6
IRAK2	206	IRAK-2	IRAK2
IREB2	123	ACO3|IRE-BP 2|IRE-BP2|IRP2|IRP2AD|NDCAMA	IREB2
IRF1	2999	IRF-1|MAR	IRF1
IRF2	619	IRF-2	IRF2
IRF3	4078	IIAE7	IRF3
IRF4	1754	LSIRF|MUM1|NF-EM5|SHEP8	IRF4
IRF5	928	SLEB10	IRF5
IRF6	502	LPS|OFC6|PIT|PPS|PPS1|VWS|VWS1	IRF6
IRF7	1893	IMD39|IRF-7|IRF-7H|IRF7A|IRF7B|IRF7C|IRF7H	IRF7
IRS1	6518	HIRS-1	IRS1
ISG20	169	CD25|HEM45	ISG20
ISL1	1058	ISLET1|Isl-1	ISL1
ISLR	58	HsT17563|Meflin	ISLR
ITGA1	174	CD49a|VLA1	ITGA1
ITGA2	371	BR|CD49B|GPIa|HPA-5|VLA-2|VLAA2	ITGA2
ITGA2B	317	BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GT1|GTA|HPA3|PPP1R93	ITGA2B
ITGA3	222	CD49C|FRP-2|GAP-B3|GAPB3|ILNEB|JEB7|MSK18|VCA-2|VL3A|VLA3a	ITGA3
ITGA4	266	CD49D|IA4	ITGA4
ITGA5	413	CD49e|FNRA|VLA-5|VLA5A	ITGA5
ITGA7	225	-	ITGA7
ITGA9	112	ALPHA-RLC|ITGA4L|RLC	ITGA9
ITGAD	59	ADB2|CD11D	ITGAD
ITGAE	50	CD103|HUMINAE	ITGAE
ITGAL	145	CD11A|LFA-1|LFA1A	ITGAL
ITGAM	1030	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	ITGAM
ITGAV	312	CD51|MSK8|VNRA|VTNR	ITGAV
ITGAX	237	CD11C|SLEB6	ITGAX
ITGB1	843	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	ITGB1
ITGB2	409	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	ITGB2
ITGB3	1282	BDPLT16|BDPLT2|BDPLT24|CD61|GP3A|GPIIIa|GT|GT2	ITGB3
ITGB4	351	CD104|GP150|JEB5A|JEB5B	ITGB4
EIF6	191	CAB|EIF3A|ITGB4BP|b(2)gcn|eIF-6|p27(BBP)|p27BBP	EIF6
ITGB5	150	-	ITGB5
ITGB6	159	AI1H	ITGB6
ITGB7	70	-	ITGB7
ITGB8	127	-	ITGB8
ITIH1	48	H1P|IATIH|IGHEP1|ITI-HC1|ITIH|SHAP	ITIH1
ITIH2	49	H2P|ITI-HC2|SHAP	ITIH2
ITIH3	72	H3P|ITI-HC3|SHAP	ITIH3
ITIH4	220	GP120|H4P|IHRP|ITI-HC4|ITIHL1|PK-120|PK120	ITIH4
ITK	1300	EMT|LPFS1|LYK|PSCTK2	ITK
STT3A	101	CDG1WAD|CDG1WAR|ITM1|STT3-A|TMC	STT3A
ITPA	564	C20orf37|DEE35|HLC14-06-P|ITPase|My049|NTPase|dJ794I6.3	ITPA
ITPK1	46	ITRPK1	ITPK1
ITPKA	51	IP3-3KA|IP3KA	ITPKA
ITPKB	83	IP3-3KB|IP3K|IP3K-B|IP3KB|PIG37	ITPKB
ITPR1	899	ACV|CLA4|INSP3R1|IP3R|IP3R1|PPP1R94|SCA15|SCA16|SCA29	ITPR1
ITPR2	142	ANHD|CFAP48|INSP3R2|IP3R2	ITPR2
ITPR3	215	CMT1J|IP3R|IP3R3	ITPR3
IVD	4286	ACAD2|IVDH	IVD
IVL	1350	-	IVL
JAG2	314	HJ2|LGMDR27|SER2	JAG2
JAK1	4552	AIIDE|JAK1A|JAK1B|JTK3	JAK1
JAK2	13972	JTK10	JAK2
JAK3	2171	JAK-3|JAK3_HUMAN|JAKL|L-JAK|LJAK	JAK3
JARID2	269	DIDDF|JMJ	JARID2
JUN	3453813	AP-1|AP1|c-Jun|cJUN|p39	JUN
JUNB	2103	AP-1	JUNB
JUND	1359	AP-1	JUND
JUP	478	CTNNG|DP3|DPIII|PDGB|PG|PKGB	JUP
ANOS1	228	ADMLX|HH1|HHA|KAL|KAL1|KALIG-1|KMS|WFDC19	ANOS1
CD82	643	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27	CD82
KARS1	10	CMTRIB|DEAPLE|DFNB89|KARS|KARS2|KRS|LEPID	KARS1
KCNA1	447	AEMK|EA1|HBK1|HUK1|KV1.1|MBK1|MK1|RBK1	KCNA1
KCNA2	243	DEE32|EIEE32|HBK5|HK4|HUKIV|KV1.2|MK2|NGK1|RBK2	KCNA2
KCNA3	247	HGK5|HLK3|HPCN3|HUKIII|KV1.3|MK3|PCN3	KCNA3
KCNA4	165	HBK4|HK1|HPCN2|HUKII|KCNA4L|KCNA8|KV1.4|MCIDDS|PCN2	KCNA4
KCNA5	377	ATFB7|HCK1|HK2|HPCN1|KV1.5|PCN1	KCNA5
KCNA6	42	HBK2|KV1.6|PPP1R96	KCNA6
KCNA7	15	HAK6|KV1.7	KCNA7
KCNA10	17	Kcn1|Kv1.8	KCNA10
KCNB1	365	DEE26|DRK1|Kv2.1	KCNB1
KCNC1	141	EPM7|KV3.1|KV4|NGK2	KCNC1
KCNC2	35	DEE103|KV3.2	KCNC2
KCNC3	99	KSHIIID|KV3.3|SCA13	KCNC3
KCNC4	75	C1orf30|HKSHIIIC|KSHIIIC|KV3.4	KCNC4
KCND1	28	KV4.1	KCND1
KCND2	201	KV4.2|RK5	KCND2
KCND3	233	BRGDA9|KCND3L|KCND3S|KSHIVB|KV4.3|SCA19|SCA22	KCND3
KCNE1	945	ISK|JLNS|JLNS2|LQT2/5|LQT5|MinK	KCNE1
KCNF1	18	IK8|KCNF|KV5.1|kH1	KCNF1
KCNG1	13	K13|KCNG|KV6.1|kH2	KCNG1
KCNH1	365	EAG|EAG1|Kv10.1|TMBTS|ZLS1|h-eag|hEAG|hEAG1	KCNH1
KCNH2	2016	ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1	KCNH2
KCNJ1	405	KIR1.1|ROMK|ROMK1	KCNJ1
KCNJ2	542	ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3	KCNJ2
KCNJ3	100	GIRK1|KGA|KIR3.1	KCNJ3
KCNJ4	107	HIR|HIRK2|HRK1|IRK-3|IRK3|Kir2.3	KCNJ4
KCNJ5	383	CIR|GIRK4|KATP1|KIR3.4|LQT13	KCNJ5
KCNJ6	197	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|KPLBS|hiGIRK2	KCNJ6
KCNJ8	108	KIR6.1|uKATP-1	KCNJ8
KCNJ9	51	GIRK3|KIR3.3	KCNJ9
KCNJ10	502	BIRK-10|KCNJ13-PEN|KIR1.2|KIR4.1|SESAME	KCNJ10
KCNJ11	1012	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|PNDM2|TNDM3	KCNJ11
KCNJ12	49	IRK-2|IRK2|KCNJN1|Kir2.2|hIRK|hIRK1|hkir2.2x|kcnj12x	KCNJ12
KCNJ13	56	KIR1.4|KIR7.1|LCA16|SVD	KCNJ13
KCNJ14	13	IRK4|KIR2.4	KCNJ14
KCNJ15	61	IRKK|KIR1.3|KIR4.2	KCNJ15
KCNJ16	72	BIR9|HKTD|KIR5.1	KCNJ16
KCNK1	103	DPK|HOHO|K2P1|K2p1.1|KCNO1|TWIK-1|TWIK1	KCNK1
KCNK2	96	K2p2.1|TPKC1|TREK|TREK-1|TREK1|hTREK-1c|hTREK-1e	KCNK2
KCNK3	180	K2p3.1|OAT1|PPH4|TASK|TASK-1|TASK1|TBAK1	KCNK3
KCNMA1	758	BKTM|CADEDS|IEG16|KCa1.1|LIWAS|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	KCNMA1
KCNMB1	118	BKbeta1|K(VCA)beta|SLO-BETA|hbeta1|hslo-beta|k(VCA)beta-1|slo-beta-1	KCNMB1
KCNN1	90	KCa2.1|SK1|SKCA1|hSK1	KCNN1
KCNN2	209	DYT34|KCa2.2|NEDMAB|SK2|SKCA2|SKCa 2|hSK2	KCNN2
KCNN3	343	KCa2.3|SK3|SKCA3|ZLS3|hSK3	KCNN3
KCNN4	638	DHS2|IK|IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4	KCNN4
KCNQ1	2506	ATFB1|ATFB3|JLNS1|KCNA8|KCNA9|KVLQT1|Kv1.9|Kv7.1|LQT|LQT1|RWS|SQT2|WRS	KCNQ1
KCNQ2	981	BFNC|DEE7|EBN|EBN1|ENB1|HNSPC|KCNA11|KV7.2	KCNQ2
KCNQ3	519	BFNC2|EBN2|KV7.3	KCNQ3
KCNS1	35	Kv9.1	KCNS1
KCNS2	8	KV9.2	KCNS2
KCNS3	24	KV9.3	KCNS3
KDR	6173	CD309|FLK1|VEGFR|VEGFR2	KDR
KEL	1245	CD238|ECE3|Kell	KEL
KHK	944	FRUCTU	KHK
KIF2A	196	CDCBM3|HK2|KIF2	KIF2A
KIF3C	48	-	KIF3C
KIF5A	245	ALS25|D12S1889|MY050|NEIMY|NKHC|SPG10	KIF5A
KIF5B	503	HEL-S-61|KINH|KNS|KNS1|UKHC	KIF5B
KIF5C	94	CDCBM2|KINN|NKHC|NKHC-2|NKHC2	KIF5C
KIFC3	48	-	KIFC3
KIR2DL1	507	CD158A|KIR-K64|KIR221|KIR2DL3|NKAT|NKAT-1|NKAT1|p58.1	KIR2DL1
KIR2DL2	397	CD158B1|CD158b|NKAT-6|NKAT6|p58.2	KIR2DL2
KIR2DL3	431	CD158B2|CD158b|GL183|KIR-023GB|KIR-K7b|KIR-K7c|KIR2DL|KIR2DS5|KIRCL23|NKAT|NKAT2|NKAT2A|NKAT2B|p58	KIR2DL3
KIR2DL4	258	CD158D|G9P|KIR-103AS|KIR-2DL4|KIR103|KIR103AS	KIR2DL4
KIR2DS1	239	CD158H|CD158a|p50.1	KIR2DS1
KIR2DS3	100	NKAT7	KIR2DS3
KIR2DS4	180	CD158I|KIR-2DS4|KIR1D|KIR412|KKA3|NKAT-8|NKAT8	KIR2DS4
KIR2DS5	113	CD158G|NKAT9	KIR2DS5
KIR3DL1	554	CD158E1|KIR|KIR2DL5B|KIR3DL1/S1|NKAT-3|NKAT3|NKB1|NKB1B	KIR3DL1
KIR3DL2	237	3DL2|CD158K|KIR-3DL2|NKAT-4|NKAT4|NKAT4B|p140	KIR3DL2
KIR3DS1	278	CD158E2|KIR-123FM|KIR-G1|NKAT-10|NKAT10	KIR3DS1
KISS1	2046	HH13|KiSS-1	KISS1
KIT	90041	C-Kit|CD117|MASTC|PBT|SCFR	KIT
KLK1	228	KLKR|Klk6|hK1	KLK1
KLK2	220	KLK2A2|hGK-1|hK2	KLK2
KLKB1	110	KLK3|PKK|PKKD|PPK	KLKB1
KLRB1	352	CD161|CLEC5B|NKR|NKR-P1|NKR-P1A|NKRP1A|hNKR-P1A	KLRB1
KLRC1	351	CD159A|NKG2|NKG2A	KLRC1
KLRC2	221	CD159c|NKG2-C|NKG2C	KLRC2
KLRC3	50	NKG2-E|NKG2E	KLRC3
KLRD1	405	CD94	KLRD1
KNG1	213	BDK|BK|HAE6|HK|HMWK|KNG	KNG1
KLC1	119	KLC|KNS2|KNS2A	KLC1
KIF11	809	EG5|HKSP|KNSL1|MCLMR|TRIP5	KIF11
KIFC1	181	HSET|KNSL2	KIFC1
KIF25	13	KNSL3	KIF25
KIF22	71	A-328A3.2|KID|KNSL4|OBP|OBP-1|OBP-2|SEMDJL2	KIF22
KPNA1	110	IPOA5|NPI-1|RCH2|SRP1	KPNA1
KPNB1	190	IMB1|IPO1|IPOB|Impnb|NTF97	KPNB1
KPNA2	303	IPOA1|PTAC58|QIP2|RCH1|SRP1-alpha|SRP1alpha	KPNA2
KPNA3	61	IPOA4|SPG88|SRP1|SRP1gamma|SRP4|hSRP1	KPNA3
KPNA4	105	IPOA3|QIP1|SRP3	KPNA4
KPNA5	20	IPOA6|SRP6	KPNA5
TNPO1	129	IPO2|KPNB2|MIP|MIP1|TRN	TNPO1
IPO5	69	IMB3|KPNB3|Pse1|RANBP5|imp5	IPO5
KRAS	25267	'C-K-RAS|C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|K-Ras|K-Ras 2|KI-RAS|KRAS1|KRAS2|NS|NS3|OES|RALD|RASK2|c-Ki-ras|c-Ki-ras2	KRAS
KRTAP5-9	1	KRN1|KRTAP5-1|KRTAP5.9	KRTAP5-9
KRT1	317	AEI2|CK1|EHK|EHK1|EPPK|K1|KRT1A|NEPPK	KRT1
KRT2	74	CK-2e|K2e|KRT2A|KRT2E|KRTE	KRT2
KRT3	79	CK3|K3|MECD2	KRT3
KRT4	84	CK-4|CK4|CYK4|K4|WSN1	KRT4
KRT5	598	CK5|DDD|DDD1|EBS1|EBS2|EBS2A|EBS2B|EBS2C|EBS2D|EBS2E|EBS2F|K5|KRT5A	KRT5
KRT6A	193	CK-6C|CK-6E|CK6A|CK6C|CK6D|K6A|K6C|K6D|KRT6C|KRT6D|PC3	KRT6A
KRT6B	90	CK-6B|CK6B|K6B|KRTL1|PC2|PC4	KRT6B
KRT7	687	CK7|K2C7|K7|SCL	KRT7
KRT8	413	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	KRT8
KRT9	87	CK-9|EPPK|K9	KRT9
KRT10	421	BCIE|BIE|CK10|EHK|IHL|K10|KPP	KRT10
KRT12	91	K12|MECD1	KRT12
KRT13	108	CK13|K13|WSN2	KRT13
KRT14	709	CK14|EBS1|EBS1A|EBS1B|EBS1C|EBS1D|EBS3|EBS4|K14|NFJ	KRT14
KRT15	227	CK15|K15|K1CO	KRT15
KRT16	176	CK16|FNEPPK|K16|K1CP|KRT16A|NEPPK|PC1	KRT16
KRT17	263	39.1|CK-17|K17|PC|PC2|PCHC1	KRT17
KRT18	403	CK-18|CYK18|K18	KRT18
KRT19	441	CK19|K19|K1CS	KRT19
KRT31	15	HA1|Ha-1|KRTHA1|hHa1	KRT31
KRT32	4	HA2|HKA2|KRTHA2|hHa2	KRT32
KRT33A	4	HA3I|Ha-3I|K33A|KRTHA3A|Krt1-3|hHa3-I	KRT33A
KRT33B	5	HA3II|Ha-3II|K33B|KRTHA3A|KRTHA3B|hHa3-II	KRT33B
KRT34	12	HA4|Ha-4|K34|KRTHA4|hHa4	KRT34
KRT35	14	HA5|Ha-5|K35|KRTHA5|hHa5	KRT35
KRT81	51	HB1|Hb-1|K81|KRTHB1|MLN137|ghHkb1|hHAKB2-1	KRT81
KRT82	7	HB2|Hb-2|KRTHB2	KRT82
KRT83	22	EKVP5|HB3|Hb-3|KRTHB3|MNLIX	KRT83
KRT84	11	HB4|KRTHB4	KRT84
KRT85	27	ECTD4|HB5|Hb-5|K85|KRTHB5|hHb5	KRT85
KRT86	26	HB6|Hb1|K86|KRTHB1|KRTHB6|MNX	KRT86
KTN1	138	CG1|KNT|MU-RMS-40.19	KTN1
L1CAM	2415	CAML1|CD171|HSAS|HSAS1|HYCX|MASA|MIC5|N-CAM-L1|N-CAML1|NCAM-L1|S10|SPG1	L1CAM
LAD1	227	LadA	LAD1
AFF3	120	KINS|LAF4|MLLT2-like	AFF3
LAG3	2109	CD223	LAG3
LAIR1	209	CD305|LAIR-1	LAIR1
LAIR2	45	CD306	LAIR2
LALBA	108	HAMLET|LYZG	LALBA
LAMA2	404	LAMM|MDC1A	LAMA2
LAMA3	214	BM600|E170|JEB2A|JEB2B|JEB2C|LAMNA|LOCS	LAMA3
LAMA4	214	CMD1JJ|LAMA3|LAMA4*-1	LAMA4
LAMA5	148	BBDS2|NPHS26	LAMA5
LAMB1	218	CLM|LIS5	LAMB1
LAMB2	185	LAMS|NPHS5|PIERS	LAMB2
LAMB3	283	AI1A|BM600-125KDA|JEB1A|JEB1B|LAM5|LAMNB1	LAMB3
LAMC1	200	LAMB2	LAMC1
LAMP1	2543	CD107a|LAMPA|LGP120	LAMP1
LAMC2	463	B2T|BM600|CSF|EBR2|EBR2A|JEB3A|JEB3B|LAMB2T|LAMNB2	LAMC2
LAMP2	1402	CD107b|DND|LAMP-2|LAMPB|LGP-96|LGP110	LAMP2
RPSA	316	37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40|uS2	RPSA
STMN1	690	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	STMN1
LASP1	277	Lasp-1|MLN50	LASP1
LBP	11213	BPIFD2	LBP
LBR	1371	C14SR|DHCR14B|LMN2R|PHA|PHASK|TDRD18	LBR
LCAT	2268	-	LCAT
LCK	3769	IMD22|LSK|YT16|p56lck|pp58lck	LCK
LCN1	157	PMFA|TLC|TP|VEGP	LCN1
LCN2	3591	24p3|MSFI|NGAL|p25	LCN2
LCP1	200	CP64|HEL-S-37|L-PLASTIN|LC64P|LPL|PLS2	LCP1
LCP2	108	IMD81|SLP-76|SLP76	LCP2
LCT	2562	LAC|LPH|LPH1	LCT
LDHA	2129	GSD11|HEL-S-133P|LDHM|PIG19	LDHA
LDHB	589	HEL-S-281|LDH-B|LDH-H|LDHBD|TRG-5	LDHB
LDHC	170	CT32|LDH3|LDHX	LDHC
LDLR	6894	FH|FHC|FHCL1|LDLCQ2	LDLR
LECT2	222	chm-II|chm2	LECT2
LEP	4095	LEPD|OB|OBS	LEP
LEPR	11616	CD295|LEP-R|LEPRD|OB-R|OBR	LEPR
LETM1	155	CONDMIM|Mdm38|SLC55A1	LETM1
LFNG	266	SCDO3	LFNG
LGALS1	2260	GAL1|GBP	LGALS1
