gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
PARP1	7577	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1	PARP1
PARP4	47	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	PARP4
ADRA1D	220	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	ADRA1D
ADRA1B	300	ADRA1|ALPHA1BAR	ADRA1B
ADRA1A	451	ADRA1C|ADRA1L1|ALPHA1AAR	ADRA1A
ADRA2A	633	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	ADRA2A
ADRA2B	228	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	ADRA2B
ADRA2C	241	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	ADRA2C
ADRB1	493	ADRB1R|B1AR|BETA1AR|FNSS2|RHR	ADRB1
ADRB2	1075	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	ADRB2
ADRB3	430	BETA3AR	ADRB3
GRK2	1459	ADRBK1|BARK1|BETA-ARK1	GRK2
GRK3	296	ADRBK2|BARK2	GRK3
ADSL	202	AMPS|ASASE|ASL	ADSL
ADSS2	2	ADEH|ADSS|ADSS 2	ADSS2
AP2A1	28	ADTAA|AP2-ALPHA|CLAPA1	AP2A1
AP2A2	26	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	AP2A2
AP1B1	33	ADTB1|AP105A|BAM22|CLAPB2|KIDAR	AP1B1
AP2B1	40	ADTB2|AP105B|AP2-BETA|CLAPB1	AP2B1
AP1G1	15	ADTG|CLAPG1|USRISD	AP1G1
AEBP1	149	ACLP	AEBP1
TLE5	58	AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5	TLE5
CRISP1	117	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	CRISP1
AFM	30665	ALB2|ALBA|ALF	AFM
AFP	26494	AFPD|FETA|HPAFP	AFP
AGA	21481	AGU|ASRG|GA	AGA
ACAN	1473	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	ACAN
AGER	2053	RAGE|SCARJ1|sRAGE	AGER
AGL	1299	GDE	AGL
AGRP	1936	AGRT|ART|ASIP2	AGRP
JAG1	1835	AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1	JAG1
AGT	4094	ANHU|SERPINA8|hFLT1	AGT
