DNA	Degree	Degree Rank
Cluster 11394	3.0	1
Cluster 34909	3.0	2
Cluster 18410	2.0	3
Cluster 83354	2.0	4
Cluster 18269	1.0	5
Cluster 30403	1.0	6
Cluster 33345	1.0	7
Cluster 42067	1.0	8
Cluster 78422	1.0	9
Cluster 79424	1.0	10
Cluster 91401	1.0	11
